词,类型,来源,来源活动,搜索量/曝光,点击,订单,销售额,花费,预估竞争度,推荐ASIN,建议匹配类型,建议动作,处理状态
rack and pinion for toyota tundra 2012 4.6 v8,机会词（有出单未覆盖）,搜索词报告,SP-KW-MIXS-王云-转向器-KX4SGE07700,50.0,1.0,1.0,296.99,0.79,待补ABA搜索量/排名,B0GR31KW4H,词组,新建对应ASIN关键词投放，7天复核,待运营确认
power steering rack toyota tundra 2013 code 29180423,机会词（有出单未覆盖）,搜索词报告,SP-KW-MIXS-王云-转向器-KX4SGE07700,4.0,1.0,1.0,296.99,0.47,待补ABA搜索量/排名,B0H6WBQ8GH,词组,新建对应ASIN关键词投放，7天复核,待运营确认
racanpinni for a toyota tundra 2008,机会词（有出单未覆盖）,搜索词报告,SP-Auto-Mix-转向器-王云-KX4SGE07700-重点,1.0,1.0,1.0,296.99,0.6,待补ABA搜索量/排名,B0H6WBQ8GH,词组,新建对应ASIN关键词投放，7天复核,待运营确认
rack end pinion for toyota tundra 2012 5.7 l 4x4 v8,机会词（有出单未覆盖）,搜索词报告,SP-KW-MIXS-王云-转向器-KX4SGE07700,28.0,3.0,1.0,296.99,2.28,待补ABA搜索量/排名,B0H6WBQ8GH,词组,新建对应ASIN关键词投放，7天复核,待运营确认
"philtop power steering rack and pinion for f150,expedition",机会词（有出单未覆盖）,搜索词报告,SP-KW-MIXS-王云-转向器-手动,4.0,1.0,1.0,295.99,0.48,待补ABA搜索量/排名,B0DPCXMRG4,词组,新建对应ASIN关键词投放，7天复核,待运营确认
power steering rack and pump for a 2010 f150 with a 5.4 l engine,机会词（有出单未覆盖）,搜索词报告,SP-KW-MIXS-王云-转向器-手动,1.0,1.0,1.0,295.99,0.48,待补ABA搜索量/排名,B0DSF696TB,词组,新建对应ASIN关键词投放，7天复核,待运营确认
2010 ford f150 4x4 rack and pinion,机会词（有出单未覆盖）,搜索词报告,SP-AUTO-MIX-转向器-王云-大于0.12,4.0,1.0,1.0,295.99,0.59,待补ABA搜索量/排名,B0F18B5J2V,词组,新建对应ASIN关键词投放，7天复核,待运营确认
2011 ford f150 power steering,机会词（有出单未覆盖）,搜索词报告,SP-Auto-Mix-转向器-王云-KX4SGE13500-重点,19.0,3.0,1.0,285.85,1.35,待补ABA搜索量/排名,B0F9P2QX6Z,词组,新建对应ASIN关键词投放，7天复核,待运营确认
racanpiño jeep liberty 2003,机会词（有出单未覆盖）,搜索词报告,SP-Auto-Mix-转向器-王云-PT4SGE25400-重点,6.0,3.0,1.0,276.37,1.65,待补ABA搜索量/排名,B0DWMVP2YN,词组,新建对应ASIN关键词投放，7天复核,待运营确认
2018 toyota tundra racking pinion,机会词（有出单未覆盖）,搜索词报告,SP-KW-Mix-转向器-王云-KX4SGE07700-重点,9.0,1.0,1.0,273.68,0.58,待补ABA搜索量/排名,B0H6WBQ8GH,词组,新建对应ASIN关键词投放，7天复核,待运营确认
rack and pinion gm,机会词（有出单未覆盖）,搜索词报告,SP-KW-Mix-转向器-王云-KX4SGE14900-重点,1.0,1.0,1.0,267.99,0.38,待补ABA搜索量/排名,B0DPCWP8WR,词组,新建对应ASIN关键词投放，7天复核,待运营确认
2007 chevy suburban rack and pinion,机会词（有出单未覆盖）,搜索词报告,SP-AUTO-MIX-转向器-王云-大于0.12,6.0,2.0,1.0,267.99,0.74,待补ABA搜索量/排名,B0DPCXMDMM,词组,新建对应ASIN关键词投放，7天复核,待运营确认
2007 gmc yukon rack and pinion transfer lines,机会词（有出单未覆盖）,搜索词报告,SP-KW-MIX-转向器-王云-手动,17.0,2.0,1.0,267.99,0.96,待补ABA搜索量/排名,B0DPMWTLZB,词组,新建对应ASIN关键词投放，7天复核,待运营确认
power steering rack &pinion for 2006 benz sprinter 9014600800 9014610401 9014604100 power steering rack &pinion for benz sprinter 9014600800 9014610401 9014604100 new,机会词（有出单未覆盖）,搜索词报告,SP-Auto-Mix-转向器-王云-KC4SGE00600-重点,8.0,2.0,1.0,264.99,1.03,待补ABA搜索量/排名,B0DPCX69RB,词组,新建对应ASIN关键词投放，7天复核,待运营确认
philtop power steering rack and pinion,机会词（有出单未覆盖）,搜索词报告,SP-KW-MIXS-王云-转向器-手动,8.0,1.0,1.0,264.99,0.48,待补ABA搜索量/排名,B0GQZB7W6N,词组,新建对应ASIN关键词投放，7天复核,待运营确认
2010 f150 rack,机会词（有出单未覆盖）,搜索词报告,SP-AUTO-MIX-王云-转向器-KX4SGE08100-重点,1.0,1.0,1.0,262.99,0.6,待补ABA搜索量/排名,B0DPCX4KJV,词组,新建对应ASIN关键词投放，7天复核,待运营确认
2010 f150 rock pinion,机会词（有出单未覆盖）,搜索词报告,SP-AUTO-MIX-王云-转向器-KX4SGE08100-重点,2.0,1.0,1.0,262.99,0.45,待补ABA搜索量/排名,B0DPCX4KJV,词组,新建对应ASIN关键词投放，7天复核,待运营确认
steering rack and pinion for f150 2010,机会词（有出单未覆盖）,搜索词报告,SP-AUTO-MIX-转向器-王云-大于0.12,2.0,1.0,1.0,262.99,0.45,待补ABA搜索量/排名,B0DWMVRNCJ,词组,新建对应ASIN关键词投放，7天复核,待运营确认
2010 ford f150 4x4 hydraulic rack and pinion,机会词（有出单未覆盖）,搜索词报告,SP-KW-MIXS-王云-转向器-KX4SGE08100,5.0,1.0,1.0,262.99,0.06,待补ABA搜索量/排名,B0GR4T8KNN,词组,新建对应ASIN关键词投放，7天复核,待运营确认
philtop 22-2038,机会词（有出单未覆盖）,搜索词报告,SP-AUTO-MIX-转向器-王云-大于0.12,1.0,1.0,1.0,260.99,0.48,待补ABA搜索量/排名,B0F672VQYZ,词组,新建对应ASIN关键词投放，7天复核,待运营确认
rack and pinion for 2013 ford f-150,机会词（有出单未覆盖）,搜索词报告,SP-AUTO-MIX-转向器-王云-大于0.12,1.0,1.0,1.0,259.99,0.46,待补ABA搜索量/排名,B0F671L76Z,词组,新建对应ASIN关键词投放，7天复核,待运营确认
2011 honda odyssey rack and pinion detroit axle,机会词（有出单未覆盖）,搜索词报告,SP-KW-BR-LXX-steering-B0GGRLVFL2-年份车型-BS,1.0,1.0,1.0,259.99,1.29,待补ABA搜索量/排名,B0GGRLVFL2,词组,新建对应ASIN关键词投放，7天复核,待运营确认
2010 ford f150 steering rack,机会词（有出单未覆盖）,搜索词报告,SP-KW-BR-王云-转向器-B0DPCX4KJV-KX4SGE08100,1.0,1.0,1.0,258.99,0.95,待补ABA搜索量/排名,B0DPCX4KJV,词组,新建对应ASIN关键词投放，7天复核,待运营确认
2010 ford f. 150 steering rack,机会词（有出单未覆盖）,搜索词报告,SP-AUTO-MIX-王云-转向器-KX4SGE08100-重点,7.0,2.0,1.0,258.99,0.94,待补ABA搜索量/排名,B0H9PZ5PBR,词组,新建对应ASIN关键词投放，7天复核,待运营确认
15 town and country rack and pinion,机会词（有出单未覆盖）,搜索词报告,SP-KW-MIX-转向器-王云-手动,2.0,1.0,1.0,254.99,0.9,待补ABA搜索量/排名,B0F9P6Z4J9,词组,新建对应ASIN关键词投放，7天复核,待运营确认
2016 chrysler towncountry rack pinion assembly,机会词（有出单未覆盖）,搜索词报告,SP-KW-MIX-转向器-王云-手动,7.0,2.0,1.0,252.99,0.93,待补ABA搜索量/排名,B0CN15P14D,词组,新建对应ASIN关键词投放，7天复核,待运营确认
2014 ford raptor 6.2 rack and pinion,机会词（有出单未覆盖）,搜索词报告,SP-KW-转向器-王云-KX4SGE13500-B0F9P2QX6Z-TOP,1.0,1.0,1.0,248.0,0.65,待补ABA搜索量/排名,B0F9P2QX6Z,词组,新建对应ASIN关键词投放，7天复核,待运营确认
power steering rack and pinion outer tie rods suspension kit f150,机会词（有出单未覆盖）,搜索词报告,SP-AUTO-MIXS-王云-转向器-OO4SGE34600,1.0,1.0,1.0,247.99,0.6,待补ABA搜索量/排名,B0GSCGSCM3,词组,新建对应ASIN关键词投放，7天复核,待运营确认
2 wheel drive rack and pinion power steering,机会词（有出单未覆盖）,搜索词报告,SP-KW-MIX-转向器-王云-手动,8.0,1.0,1.0,245.99,0.75,待补ABA搜索量/排名,B0DWMSHL7S,词组,新建对应ASIN关键词投放，7天复核,待运营确认
rack and pinion steering assembly 4x4 2001 ford ranger 4.0l extended cab,机会词（有出单未覆盖）,搜索词报告,SP-AUTO-MIXS-王云-转向器大于0.12,2.0,1.0,1.0,244.96,0.4,待补ABA搜索量/排名,B0DWMX4BRG,词组,新建对应ASIN关键词投放，7天复核,待运营确认
2006 chevy trailblazer rack and pinion,机会词（有出单未覆盖）,搜索词报告,SP-KW-BR-LXX-STEERING-B0GGRMCDM2-年份车型-BS,2.0,1.0,1.0,239.99,0.8,待补ABA搜索量/排名,B0GGRMCDM2,词组,新建对应ASIN关键词投放，7天复核,待运营确认
steering rack for gmc envoy 2006 xl,机会词（有出单未覆盖）,搜索词报告,SP-KW-BR-LXX-STEERING-B0GGRMCDM2-年份车型-BS,2.0,1.0,1.0,239.99,0.96,待补ABA搜索量/排名,B0GGRMCDM2,词组,新建对应ASIN关键词投放，7天复核,待运营确认
2006 honda crv steering rack,机会词（有出单未覆盖）,搜索词报告,SP-KW-MIX-转向器-王云-手动,4.0,1.0,1.0,238.99,0.75,待补ABA搜索量/排名,B0H6WNKJCR,词组,新建对应ASIN关键词投放，7天复核,待运营确认
crown vic rack and pinion,机会词（有出单未覆盖）,搜索词报告,SP-KW-MIXS-王云-转向器-KX4SGE13100,4.0,1.0,1.0,236.99,0.84,待补ABA搜索量/排名,B0DWMVRNCJ,词组,新建对应ASIN关键词投放，7天复核,待运营确认
steering for chevrolet silverado 1500 2011,机会词（有出单未覆盖）,搜索词报告,SP-AUTO-MIXS-王云-转向器大于0.12,6.0,3.0,1.0,236.99,1.2,待补ABA搜索量/排名,B0DWMW2718,词组,新建对应ASIN关键词投放，7天复核,待运营确认
03 ford crown vic rack,机会词（有出单未覆盖）,搜索词报告,SP-AUTO-MIX-转向器-王云-大于0.12,1.0,1.0,1.0,236.99,0.45,待补ABA搜索量/排名,B0F9P6Z4J9,词组,新建对应ASIN关键词投放，7天复核,待运营确认
2004 crown victoria rack and pinion with evo solenoid,机会词（有出单未覆盖）,搜索词报告,SP-KW-MIXS-王云-转向器-KX4SGE13100,5.0,1.0,1.0,234.99,0.56,待补ABA搜索量/排名,B0DWMVRNCJ,词组,新建对应ASIN关键词投放，7天复核,待运营确认
honda element 2003 power steering,机会词（有出单未覆盖）,搜索词报告,SP-AUTO-MIXS-王云-转向器大于0.12,5.0,1.0,1.0,234.99,0.3,待补ABA搜索量/排名,B0FCY5DXQT,词组,新建对应ASIN关键词投放，7天复核,待运营确认
ford mustang 1976 rack and pinion,机会词（有出单未覆盖）,搜索词报告,SP-AUTO-MIXS-王云-转向器大于0.12,2.0,1.0,1.0,233.99,0.48,待补ABA搜索量/排名,B0DWMW2718,词组,新建对应ASIN关键词投放，7天复核,待运营确认
1984 thunderbird high flow power rack and pinion,机会词（有出单未覆盖）,搜索词报告,SP-AUTO-MIXS-王云-转向器大于0.12,5.0,2.0,1.0,233.99,0.8,待补ABA搜索量/排名,B0FCY2SJ1V,词组,新建对应ASIN关键词投放，7天复核,待运营确认
directional rack for honda crv 2005,机会词（有出单未覆盖）,搜索词报告,SP-Auto-Mix-转向器-王云-KX4SGE09300-重点,4.0,1.0,1.0,232.99,0.46,待补ABA搜索量/排名,B0F6718664,词组,新建对应ASIN关键词投放，7天复核,待运营确认
1978 mustang ii power rack and pinion,机会词（有出单未覆盖）,搜索词报告,SP-KW-MIX-转向器-王云-手动,11.0,2.0,1.0,231.99,1.65,待补ABA搜索量/排名,B0F9P6Z4J9,词组,新建对应ASIN关键词投放，7天复核,待运营确认
2007+ford+f150+rack+and+pinion 2 wheel drive,机会词（有出单未覆盖）,搜索词报告,SP-KW-MIX-转向器-王云-手动,6.0,1.0,1.0,230.99,0.48,待补ABA搜索量/排名,B0DPMWTLZB,词组,新建对应ASIN关键词投放，7天复核,待运营确认
rack and pinion steering assembly 05 silverado,机会词（有出单未覆盖）,搜索词报告,SP-KW-MIXS-王云-转向器-手动,1.0,1.0,1.0,230.99,0.48,待补ABA搜索量/排名,B0GQZB7W6N,词组,新建对应ASIN关键词投放，7天复核,待运营确认
steering sprocket for f150,机会词（有出单未覆盖）,搜索词报告,SP-Auto-Mix-转向器-KC4SGE05100-重点,1.0,1.0,1.0,229.99,0.45,待补ABA搜索量/排名,B0F9P39BQ3,词组,新建对应ASIN关键词投放，7天复核,待运营确认
2004 ford f150 2wd power steering and rack and pinion assembly,机会词（有出单未覆盖）,搜索词报告,SP-Auto-Mix-转向器-KC4SGE05100-重点,2.0,1.0,1.0,229.99,0.6,待补ABA搜索量/排名,B0GR4FDFSQ,词组,新建对应ASIN关键词投放，7天复核,待运营确认
steering rack,机会词（有出单未覆盖）,搜索词报告,SP-KW-MIXS-王云-转向器-KC4PSP16500；SP-KW-Mix-转向器-王云-KC4PSP16500-重点,78.0,2.0,1.0,229.11,1.29,待补ABA搜索量/排名,B0DPQJ9GVG,词组,新建对应ASIN关键词投放，7天复核,待运营确认
08 escalade rack a pinion all-wheel-drive,机会词（有出单未覆盖）,搜索词报告,SP-AUTO-MIXS-王云-转向器大于0.12,6.0,1.0,1.0,228.99,0.4,待补ABA搜索量/排名,B0FCY4HGCF,词组,新建对应ASIN关键词投放，7天复核,待运营确认
ford f150 2007 hydraulic steering rack,机会词（有出单未覆盖）,搜索词报告,SP-AUTO-MIX-转向器-王云-大于0.12,6.0,2.0,1.0,228.99,0.74,待补ABA搜索量/排名,B0GR4FCY4R,词组,新建对应ASIN关键词投放，7天复核,待运营确认
09 chevy suburban rack and pinion,机会词（有出单未覆盖）,搜索词报告,SP-AUTO-MIXS-王云-转向器-OO4SGE36000,2.0,1.0,1.0,228.99,0.45,待补ABA搜索量/排名,B0GTTL5QMS,词组,新建对应ASIN关键词投放，7天复核,待运营确认
2010 lincoln mkt power steering kit,机会词（有出单未覆盖）,搜索词报告,SP-Auto-Mix-转向器-王云-KX4SGE11100-重点,3.0,1.0,1.0,228.44,0.45,待补ABA搜索量/排名,B0DR1648XY,词组,新建对应ASIN关键词投放，7天复核,待运营确认
97-3075,机会词（有出单未覆盖）,搜索词报告,SP-AUTO-MIX-转向器-王云-大于0.12,1.0,1.0,1.0,225.99,0.38,待补ABA搜索量/排名,B0DPCX66CY,词组,新建对应ASIN关键词投放，7天复核,待运营确认
2002 dodge ram1500 rack and pinion 4wd,机会词（有出单未覆盖）,搜索词报告,SP-KW-MIX-转向器-王云-手动,5.0,1.0,1.0,225.99,0.48,待补ABA搜索量/排名,B0DPMWTLZB,词组,新建对应ASIN关键词投放，7天复核,待运营确认
piltop power steering rack and pinion assyfor 2002-2005 ram 1500,机会词（有出单未覆盖）,搜索词报告,SP-AUTO-MIX-转向器-王云-大于0.12,4.0,1.0,1.0,225.99,0.37,待补ABA搜索量/排名,B0F18B5J2V,词组,新建对应ASIN关键词投放，7天复核,待运营确认
2005 ford crown victoria police interceptor roking pinion,机会词（有出单未覆盖）,搜索词报告,SP-Auto-Mix-转向器-王云-KX4SGE13200-重点,4.0,1.0,1.0,225.99,0.45,待补ABA搜索量/排名,B0FCY49VLV,词组,新建对应ASIN关键词投放，7天复核,待运营确认
2004 dodge ram 1500 5.7 hemi rack and pinion,机会词（有出单未覆盖）,搜索词报告,SP-KW-MIX-转向器-王云-手动,1.0,1.0,1.0,225.99,0.33,待补ABA搜索量/排名,B0GR4MMBH1,词组,新建对应ASIN关键词投放，7天复核,待运营确认
rack and pinion for 2012 nissan maxima sv with evo vin1n4aa5ap5cc824756,机会词（有出单未覆盖）,搜索词报告,SP-KW-MIXS-王云-转向器-KX4SGE12700,9.0,3.0,1.0,224.99,1.55,待补ABA搜索量/排名,B0F6734V72,词组,新建对应ASIN关键词投放，7天复核,待运营确认
cada de dirección hidráulica dodge durango 1999,机会词（有出单未覆盖）,搜索词报告,SP-AUTO-MIXS-王云-转向器大于0.12,3.0,1.0,1.0,224.99,0.4,待补ABA搜索量/排名,B0FCY5DXQT,词组,新建对应ASIN关键词投放，7天复核,待运营确认
2008 f150 2wd powersteering rack,机会词（有出单未覆盖）,搜索词报告,SP-AUTO-MIXS-王云-转向器-KC4SGE05100,2.0,1.0,1.0,223.99,0.48,待补ABA搜索量/排名,B0GR3G1TLW,词组,新建对应ASIN关键词投放，7天复核,待运营确认
2004 dodge ram 1500 rwd rack and pinion,机会词（有出单未覆盖）,搜索词报告,SP-KW-MIXS-王云-转向器-手动,2.0,1.0,1.0,223.4,0.48,待补ABA搜索量/排名,B0DPCY3SC2,词组,新建对应ASIN关键词投放，7天复核,待运营确认
rack and pinion 2010 gmc canyon,机会词（有出单未覆盖）,搜索词报告,SP-KW-MIX-转向器-王云-手动,2.0,1.0,1.0,221.99,0.33,待补ABA搜索量/排名,B0DPQLYGNY,词组,新建对应ASIN关键词投放，7天复核,待运营确认
honda odyssey 2011 steering box,机会词（有出单未覆盖）,搜索词报告,SP-AUTO-MIXS-王云-转向器大于0.12,4.0,1.0,1.0,221.99,0.48,待补ABA搜索量/排名,B0DWMT4JDS,词组,新建对应ASIN关键词投放，7天复核,待运营确认
2006 lincoln town car steering rack,机会词（有出单未覆盖）,搜索词报告,SP-AUTO-MIX-转向器-王云-大于0.12,0.0,0.0,1.0,221.0,0.0,待补ABA搜索量/排名,B0GR4FCY4R,词组,新建对应ASIN关键词投放，7天复核,待运营确认
2005 chevy 1500 express 4.3 6 cylinder rack pinion,机会词（有出单未覆盖）,搜索词报告,SP-KW-MIXS-王云-转向器-手动,3.0,1.0,1.0,220.89,0.11,待补ABA搜索量/排名,B0GQZB7W6N,词组,新建对应ASIN关键词投放，7天复核,待运营确认
hydraulic steering rack for chevrolet colorado 2003,机会词（有出单未覆盖）,搜索词报告,SP-KW-MIX-转向器-王云-手动,2.0,1.0,1.0,219.99,0.45,待补ABA搜索量/排名,B0DPMWTLZB,词组,新建对应ASIN关键词投放，7天复核,待运营确认
2006 toyota 4runner with tie rod ends rack and pinion,机会词（有出单未覆盖）,搜索词报告,SP-KW-BR-LXX-steering-B0GGRMHY37-车型1-BS,3.0,2.0,1.0,219.99,2.52,待补ABA搜索量/排名,B0GGRMHY37,词组,新建对应ASIN关键词投放，7天复核,待运营确认
99-04 mustang gt rack and pinion,机会词（有出单未覆盖）,搜索词报告,SP-AUTO-MIXS-王云-转向器大于0.12,5.0,2.0,1.0,218.99,0.8,待补ABA搜索量/排名,B0D2D19CXW,词组,新建对应ASIN关键词投放，7天复核,待运营确认
mustang cobra 1999 rack and pinion,机会词（有出单未覆盖）,搜索词报告,SP-KW-MIXS-王云-转向器-手动,2.0,1.0,1.0,218.99,0.48,待补ABA搜索量/排名,B0DPCY3SC2,词组,新建对应ASIN关键词投放，7天复核,待运营确认
2012 ford transit connect rack and pinion,机会词（有出单未覆盖）,搜索词报告,SP-KW-Mix-转向器-王云-PT4SGE24400-重点,9.0,1.0,1.0,218.99,0.69,待补ABA搜索量/排名,B0DWMTK9F5,词组,新建对应ASIN关键词投放，7天复核,待运营确认
prelude racking pinion,机会词（有出单未覆盖）,搜索词报告,SP-KW-MIXS-王云-转向器-PT4SGE27600,5.0,2.0,1.0,218.99,1.5,待补ABA搜索量/排名,B0DWMXBCS8,词组,新建对应ASIN关键词投放，7天复核,待运营确认
2001 mustang gt 4.6 rack and pinion,机会词（有出单未覆盖）,搜索词报告,SP-AUTO-MIX-转向器-王云-大于0.12,5.0,1.0,1.0,218.99,0.38,待补ABA搜索量/排名,B0F672VQYZ,词组,新建对应ASIN关键词投放，7天复核,待运营确认
toyota tacoma rack and pinion,机会词（有出单未覆盖）,搜索词报告,SP-KW-Mix-转向器-王云-KC4PSP18200-重点,2.0,1.0,1.0,218.99,0.68,待补ABA搜索量/排名,B0F6LRJSGY,词组,新建对应ASIN关键词投放，7天复核,待运营确认
2015 tacoma 4x4 rack pinion,机会词（有出单未覆盖）,搜索词报告,SP-KW-MIXS-王云-转向器-KC4PSP18200,6.0,2.0,1.0,218.99,1.48,待补ABA搜索量/排名,B0GQZ61J8N,词组,新建对应ASIN关键词投放，7天复核,待运营确认
hydraulic steering rack toyota tacoma 2006,机会词（有出单未覆盖）,搜索词报告,SP-KW-MIXS-王云-转向器-KC4PSP18200,14.0,1.0,1.0,218.99,0.74,待补ABA搜索量/排名,B0H6WLTB7W,词组,新建对应ASIN关键词投放，7天复核,待运营确认
2010 ford transit connect rack and pinion,机会词（有出单未覆盖）,搜索词报告,SP-KW-MIXS-王云-转向器-PT4SGE24400,10.0,1.0,1.0,218.99,0.74,待补ABA搜索量/排名,B0H6WNC6KF,词组,新建对应ASIN关键词投放，7天复核,待运营确认
rack and pinion 2005 chevy silverado,机会词（有出单未覆盖）,搜索词报告,SP-KW-MIX-转向器-王云-手动,3.0,1.0,1.0,217.99,0.48,待补ABA搜索量/排名,B0CN15P14D,词组,新建对应ASIN关键词投放，7天复核,待运营确认
19133675,机会词（有出单未覆盖）,搜索词报告,SP-AUTO-MIXS-王云-转向器-KC4PSP18100,3.0,3.0,1.0,217.99,1.86,待补ABA搜索量/排名,B0GR4S9F1W,词组,新建对应ASIN关键词投放，7天复核,待运营确认
corolla 2009 ceptor,机会词（有出单未覆盖）,搜索词报告,SP-AUTO-MIXS-王云-转向器大于0.12,4.0,1.0,1.0,215.98,0.4,待补ABA搜索量/排名,B0F6LQ1J5Y,词组,新建对应ASIN关键词投放，7天复核,待运营确认
2008 mercedes gl 450 rackand pinion,机会词（有出单未覆盖）,搜索词报告,SP-Auto-Mix-转向器-王云-KC4SGE04800-重点,8.0,1.0,1.0,214.99,0.45,待补ABA搜索量/排名,B0DPZK76DX,词组,新建对应ASIN关键词投放，7天复核,待运营确认
2001 mustang gt 4.6 power steering rack,机会词（有出单未覆盖）,搜索词报告,SP-KW-MIXS-王云-转向器-手动,3.0,1.0,1.0,214.99,0.48,待补ABA搜索量/排名,B0DWMV3S49,词组,新建对应ASIN关键词投放，7天复核,待运营确认
2004 chevy tracker rack and pinion,机会词（有出单未覆盖）,搜索词报告,SP-KW-MIXS-王云-转向器-PT4SGE23200,3.0,1.0,1.0,214.99,0.69,待补ABA搜索量/排名,B0DWMWQTGG,词组,新建对应ASIN关键词投放，7天复核,待运营确认
2004 mustang gt rack and pinion 4.6,机会词（有出单未覆盖）,搜索词报告,SP-KW-MIX-转向器-王云-手动,1.0,1.0,1.0,214.99,0.48,待补ABA搜索量/排名,B0F9P2QX6Z,词组,新建对应ASIN关键词投放，7天复核,待运营确认
caja de dirección ford explorer 2009 4x4,机会词（有出单未覆盖）,搜索词报告,SP-Auto-Mix-转向器-王云-KX4SGE12100-重点,2.0,1.0,1.0,214.99,0.45,待补ABA搜索量/排名,B0GR4L77BC,词组,新建对应ASIN关键词投放，7天复核,待运营确认
2005 trailblazer ls power steering,机会词（有出单未覆盖）,搜索词报告,SP-Auto-Mix-转向器26新品-王云-OO4SGE35700,2.0,2.0,1.0,214.99,0.9,待补ABA搜索量/排名,B0H6WGKPR5,词组,新建对应ASIN关键词投放，7天复核,待运营确认
hydraulic steering rack for trailblazer isquierdo,机会词（有出单未覆盖）,搜索词报告,SP-KW-MIX-转向器-王云-手动,12.0,2.0,1.0,214.99,1.8,待补ABA搜索量/排名,B0H6XGB3TG,词组,新建对应ASIN关键词投放，7天复核,待运营确认
rack and pinion,机会词（有出单未覆盖）,搜索词报告,SP-KW-MIXS-王云-转向器-KC4SGE04700；SP-KW-Mix-转向器-王云-KC4SGE04700-重点,397.0,6.0,1.0,214.19,3.99,待补ABA搜索量/排名,B0DPCWSF3G,词组,新建对应ASIN关键词投放，7天复核,待运营确认
2001 integra power steering rack showa,机会词（有出单未覆盖）,搜索词报告,SP-KW-BR-王云-转向器-B0DWMVQ3MR-PT4SGE23600,1.0,1.0,1.0,214.19,0.6,待补ABA搜索量/排名,B0DWMVQ3MR,词组,新建对应ASIN关键词投放，7天复核,待运营确认
integra steering rack,机会词（有出单未覆盖）,搜索词报告,SP-KW-MIX-转向器-王云-手动,7.0,1.0,1.0,214.19,0.48,待补ABA搜索量/排名,B0F9P2QX6Z,词组,新建对应ASIN关键词投放，7天复核,待运营确认
2011 silverado rack and pinion,机会词（有出单未覆盖）,搜索词报告,SP-KW-BR-王云-转向器-B0DPQG957S-KC4PSP16200；SP-KW-MIXS-王云-转向器-KC4PSP16200,8.0,2.0,1.0,213.99,2.32,待补ABA搜索量/排名,B0DPQG957S,词组,新建对应ASIN关键词投放，7天复核,待运营确认
