搜索词,广告活动,活动ID,ASIN,广告组ID,广告组名称,判定类型,应用层级,曝光,点击,花费,订单,销售额,来源报告周期,处理状态
rack and pinion ford explorer 2013,SP-AUTO-MIXS-王云-转向器大于0.12,49811275669002,B0D2D19CXW,358941399384907,MIX 今年毛利大于等于0.12,不相关品牌/车型,L2活动级否定,1.0,1.0,0.48,0.0,0.0,近7天,待模块E校验
rack and pinion honda crv 2007,SP-AUTO-MIXS-王云-转向器大于0.12,49811275669002,B0D2D19CXW,358941399384907,MIX 今年毛利大于等于0.12,不相关品牌,L2活动级否定,1.0,1.0,0.48,0.0,0.0,近7天,待模块E校验
rack and pinion steering assembly ford ranger 1998,SP-AUTO-MIXS-王云-转向器大于0.12,49811275669002,B0D2D19CXW,358941399384907,MIX 今年毛利大于等于0.12,不相关品牌/车型,L2活动级否定,1.0,1.0,0.48,0.0,0.0,近7天,待模块E校验
steering rack for bmw 2004 325 ci,SP-AUTO-MIXS-王云-转向器大于0.12,49811275669002,B0D2D19CXW,358941399384907,MIX 今年毛利大于等于0.12,不相关品牌,L2活动级否定,3.0,1.0,0.4,0.0,0.0,近7天,待模块E校验
02 lexus rx300 steering rack,SP-AUTO-MIXS-王云-转向器大于0.12,49811275669002,B0DWMW2718,358941399384907,MIX 今年毛利大于等于0.12,不相关品牌/车型,L2活动级否定,2.0,1.0,0.48,1.0,166.99,近7天,待模块E校验
1990 toyota corolla rack and pinion,SP-AUTO-MIXS-王云-转向器大于0.12,49811275669002,B0DWMW2718,358941399384907,MIX 今年毛利大于等于0.12,不相关品牌/车型,L2活动级否定,3.0,2.0,0.88,0.0,0.0,近7天,待模块E校验
1995 dodge dakota rack and pinion,SP-AUTO-MIXS-王云-转向器大于0.12,49811275669002,B0DWMW2718,358941399384907,MIX 今年毛利大于等于0.12,不相关品牌/车型,L2活动级否定,4.0,1.0,0.48,0.0,0.0,近7天,待模块E校验
2004 toyota 4runner 4.0 rack and pinion,SP-AUTO-MIXS-王云-转向器大于0.12,49811275669002,B0DWMW2718,358941399384907,MIX 今年毛利大于等于0.12,不相关品牌/车型,L2活动级否定,3.0,1.0,0.4,0.0,0.0,近7天,待模块E校验
2005 nissan murano awd power steering rack new,SP-AUTO-MIXS-王云-转向器大于0.12,49811275669002,B0DWMW2718,358941399384907,MIX 今年毛利大于等于0.12,不相关品牌/车型,L2活动级否定,2.0,1.0,0.4,0.0,0.0,近7天,待模块E校验
2008 honda accord se 3.5 rack and pinion assy,SP-AUTO-MIXS-王云-转向器大于0.12,49811275669002,B0DWMW2718,358941399384907,MIX 今年毛利大于等于0.12,不相关品牌/车型,L2活动级否定,3.0,1.0,0.4,0.0,0.0,近7天,待模块E校验
2011 subaru legacy rack and pinion,SP-AUTO-MIXS-王云-转向器大于0.12,49811275669002,B0DWMW2718,358941399384907,MIX 今年毛利大于等于0.12,不相关品牌/车型,L2活动级否定,2.0,1.0,0.48,0.0,0.0,近7天,待模块E校验
honda odyssey 1996 power steering rack,SP-AUTO-MIXS-王云-转向器大于0.12,49811275669002,B0DWMW2718,358941399384907,MIX 今年毛利大于等于0.12,不相关品牌/车型,L2活动级否定,2.0,1.0,0.4,0.0,0.0,近7天,待模块E校验
hyundai kona 2021 car rack and pinion,SP-AUTO-MIXS-王云-转向器大于0.12,49811275669002,B0DWMW2718,358941399384907,MIX 今年毛利大于等于0.12,不相关品牌,L2活动级否定,2.0,2.0,0.65,0.0,0.0,近7天,待模块E校验
power steering rack and pinion kia sorento 2011,SP-AUTO-MIXS-王云-转向器大于0.12,49811275669002,B0DWMW2718,358941399384907,MIX 今年毛利大于等于0.12,不相关品牌/车型,L2活动级否定,1.0,1.0,0.03,0.0,0.0,近7天,待模块E校验
power steering rack ford ranger 1999,SP-AUTO-MIXS-王云-转向器大于0.12,49811275669002,B0DWMW2718,358941399384907,MIX 今年毛利大于等于0.12,不相关品牌/车型,L2活动级否定,31.0,5.0,2.32,0.0,0.0,近7天,待模块E校验
power steering rack ram 1500,SP-AUTO-MIXS-王云-转向器大于0.12,49811275669002,B0DWMW2718,358941399384907,MIX 今年毛利大于等于0.12,不相关品牌/车型,L2活动级否定,4.0,1.0,0.52,0.0,0.0,近7天,待模块E校验
rack and pinion cadillac eldorado,SP-AUTO-MIXS-王云-转向器大于0.12,49811275669002,B0DWMW2718,358941399384907,MIX 今年毛利大于等于0.12,不相关品牌,L2活动级否定,20.0,1.0,0.4,0.0,0.0,近7天,待模块E校验
rack and pinion for honda odyssey 2012,SP-AUTO-MIXS-王云-转向器大于0.12,49811275669002,B0DWMW2718,358941399384907,MIX 今年毛利大于等于0.12,不相关品牌/车型,L2活动级否定,3.0,1.0,0.48,0.0,0.0,近7天,待模块E校验
rack and pinion for hyundai kona 2021,SP-AUTO-MIXS-王云-转向器大于0.12,49811275669002,B0DWMW2718,358941399384907,MIX 今年毛利大于等于0.12,不相关品牌,L2活动级否定,6.0,1.0,0.48,0.0,0.0,近7天,待模块E校验
rack and pinion ford ranger 1998,SP-AUTO-MIXS-王云-转向器大于0.12,49811275669002,B0DWMW2718,358941399384907,MIX 今年毛利大于等于0.12,不相关品牌/车型,L2活动级否定,1.0,1.0,0.48,0.0,0.0,近7天,待模块E校验
rack and pinion honda crv 2008,SP-AUTO-MIXS-王云-转向器大于0.12,49811275669002,B0DWMW2718,358941399384907,MIX 今年毛利大于等于0.12,不相关品牌,L2活动级否定,2.0,1.0,0.25,0.0,0.0,近7天,待模块E校验
rack and pinion hyundai elantra 2013,SP-AUTO-MIXS-王云-转向器大于0.12,49811275669002,B0DWMW2718,358941399384907,MIX 今年毛利大于等于0.12,适配外年份,L2活动级否定,5.0,1.0,0.48,0.0,0.0,近7天,待模块E校验
steering rack and pinion for suzuki grand vitara,SP-AUTO-MIXS-王云-转向器大于0.12,49811275669002,B0DWMW2718,358941399384907,MIX 今年毛利大于等于0.12,不相关品牌/车型,L2活动级否定,2.0,1.0,0.03,0.0,0.0,近7天,待模块E校验
steering rack and pinion seal kit for acura integra 1993,SP-AUTO-MIXS-王云-转向器大于0.12,49811275669002,B0DWMW2718,358941399384907,MIX 今年毛利大于等于0.12,不相关品牌/车型,L2活动级否定,1.0,1.0,0.48,0.0,0.0,近7天,待模块E校验
toyota sienna 2001 hydraulic steering rack,SP-AUTO-MIXS-王云-转向器大于0.12,49811275669002,B0DWMW2718,358941399384907,MIX 今年毛利大于等于0.12,不相关品牌/车型,L2活动级否定,16.0,1.0,0.48,0.0,0.0,近7天,待模块E校验
1999 isuzu amigo rack and pinion,SP-AUTO-MIXS-王云-转向器大于0.12,49811275669002,B0F6LQ1J5Y,358941399384907,MIX 今年毛利大于等于0.12,不相关品牌,L2活动级否定,7.0,2.0,0.96,0.0,0.0,近7天,待模块E校验
2002 nissan sentra ser rack and pinion,SP-AUTO-MIXS-王云-转向器大于0.12,49811275669002,B0F6LQ1J5Y,358941399384907,MIX 今年毛利大于等于0.12,不相关品牌/车型,L2活动级否定,4.0,2.0,0.96,0.0,0.0,近7天,待模块E校验
2005-2010 honda odyssey steering gear/rack power rack and pinion,SP-AUTO-MIXS-王云-转向器大于0.12,49811275669002,B0F6LQ1J5Y,358941399384907,MIX 今年毛利大于等于0.12,不相关品牌/车型,L2活动级否定,1.0,1.0,0.48,0.0,0.0,近7天,待模块E校验
2007 gmc yukon rack and pinion,SP-AUTO-MIXS-王云-转向器大于0.12,49811275669002,B0F6LQ1J5Y,358941399384907,MIX 今年毛利大于等于0.12,不相关品牌/车型,L2活动级否定,13.0,1.0,0.08,0.0,0.0,近7天,待模块E校验
bmw rack and pinion,SP-AUTO-MIXS-王云-转向器大于0.12,49811275669002,B0F6LQ1J5Y,358941399384907,MIX 今年毛利大于等于0.12,不相关品牌,L2活动级否定,3.0,1.0,0.4,0.0,0.0,近7天,待模块E校验
electric power steering rack ford f150 2014,SP-AUTO-MIXS-王云-转向器大于0.12,49811275669002,B0F6LQ1J5Y,358941399384907,MIX 今年毛利大于等于0.12,不相关品牌,L2活动级否定,1.0,1.0,0.4,1.0,259.99,近7天,待模块E校验
hydraulic steering rack for mitsubishi pajero io,SP-AUTO-MIXS-王云-转向器大于0.12,49811275669002,B0F6LQ1J5Y,358941399384907,MIX 今年毛利大于等于0.12,不相关品牌,L2活动级否定,5.0,2.0,0.96,0.0,0.0,近7天,待模块E校验
kit reparation hydraulic power steering rack and pinion compatible with 2008-2012 honda accord 2.4l 3.5l oem# 26-2746 53601ta5a02 53601ta6a02,SP-AUTO-MIXS-王云-转向器大于0.12,49811275669002,B0F6LQ1J5Y,358941399384907,MIX 今年毛利大于等于0.12,不相关品牌/车型,L2活动级否定,4.0,1.0,0.4,0.0,0.0,近7天,待模块E校验
rack and pinion 1999 toyota sienna 6 cylinder,SP-AUTO-MIXS-王云-转向器大于0.12,49811275669002,B0F6LQ1J5Y,358941399384907,MIX 今年毛利大于等于0.12,不相关品牌/车型,L2活动级否定,1.0,1.0,0.45,0.0,0.0,近7天,待模块E校验
rack and pinion 2016 ram,SP-AUTO-MIXS-王云-转向器大于0.12,49811275669002,B0F6LQ1J5Y,358941399384907,MIX 今年毛利大于等于0.12,不相关品牌,L2活动级否定,4.0,1.0,0.48,0.0,0.0,近7天,待模块E校验
rack and pinion 99 nissan pathfinder,SP-AUTO-MIXS-王云-转向器大于0.12,49811275669002,B0F6LQ1J5Y,358941399384907,MIX 今年毛利大于等于0.12,不相关品牌,L2活动级否定,2.0,2.0,0.8,0.0,0.0,近7天,待模块E校验
rack and pinion 99 toyota tacoma,SP-AUTO-MIXS-王云-转向器大于0.12,49811275669002,B0F6LQ1J5Y,358941399384907,MIX 今年毛利大于等于0.12,不相关品牌/车型,L2活动级否定,1.0,1.0,0.48,1.0,154.99,近7天,待模块E校验
rack and pinion for 87 toyota corolla,SP-AUTO-MIXS-王云-转向器大于0.12,49811275669002,B0F6LQ1J5Y,358941399384907,MIX 今年毛利大于等于0.12,不相关品牌/车型,L2活动级否定,3.0,1.0,0.4,0.0,0.0,近7天,待模块E校验
rack and pinion hyundai excel,SP-AUTO-MIXS-王云-转向器大于0.12,49811275669002,B0F6LQ1J5Y,358941399384907,MIX 今年毛利大于等于0.12,不相关品牌,L2活动级否定,1.0,1.0,0.4,0.0,0.0,近7天,待模块E校验
07 chevrolet express 1500 awd rack and pinion,SP-AUTO-MIXS-王云-转向器大于0.12,49811275669002,B0FCY2SJ1V,358941399384907,MIX 今年毛利大于等于0.12,不相关品牌/车型,L2活动级否定,1.0,1.0,0.4,0.0,0.0,近7天,待模块E校验
09 subaru outback 2.5 power steering rack,SP-AUTO-MIXS-王云-转向器大于0.12,49811275669002,B0FCY2SJ1V,358941399384907,MIX 今年毛利大于等于0.12,不相关品牌/车型,L2活动级否定,3.0,1.0,0.4,0.0,0.0,近7天,待模块E校验
16 ford fusion rack and pinion,SP-AUTO-MIXS-王云-转向器大于0.12,49811275669002,B0FCY2SJ1V,358941399384907,MIX 今年毛利大于等于0.12,不相关品牌,L2活动级否定,5.0,1.0,0.48,0.0,0.0,近7天,待模块E校验
1999 ford mustang rack and pinion,SP-AUTO-MIXS-王云-转向器大于0.12,49811275669002,B0FCY2SJ1V,358941399384907,MIX 今年毛利大于等于0.12,不相关品牌/车型,L2活动级否定,1.0,1.0,0.4,0.0,0.0,近7天,待模块E校验
2001 gmc yukon xl rack and pinion,SP-AUTO-MIXS-王云-转向器大于0.12,49811275669002,B0FCY2SJ1V,358941399384907,MIX 今年毛利大于等于0.12,不相关品牌/车型,L2活动级否定,3.0,1.0,0.18,0.0,0.0,近7天,待模块E校验
2003 ford ranger super cab rack and pinion,SP-AUTO-MIXS-王云-转向器大于0.12,49811275669002,B0FCY2SJ1V,358941399384907,MIX 今年毛利大于等于0.12,不相关品牌/车型,L2活动级否定,3.0,1.0,0.48,0.0,0.0,近7天,待模块E校验
2011 ford f150 electronic rack and pinion,SP-AUTO-MIXS-王云-转向器大于0.12,49811275669002,B0FCY2SJ1V,358941399384907,MIX 今年毛利大于等于0.12,不相关品牌,L2活动级否定,2.0,1.0,0.48,0.0,0.0,近7天,待模块E校验
2011 kia optima rack and pinion,SP-AUTO-MIXS-王云-转向器大于0.12,49811275669002,B0FCY2SJ1V,358941399384907,MIX 今年毛利大于等于0.12,不相关品牌,L2活动级否定,3.0,1.0,0.4,0.0,0.0,近7天,待模块E校验
2011 subaru outback steering rack,SP-AUTO-MIXS-王云-转向器大于0.12,49811275669002,B0FCY2SJ1V,358941399384907,MIX 今年毛利大于等于0.12,不相关品牌/车型,L2活动级否定,1.0,1.0,0.4,0.0,0.0,近7天,待模块E校验
gmc envoy power steering rack and pump,SP-AUTO-MIXS-王云-转向器大于0.12,49811275669002,B0FCY2SJ1V,358941399384907,MIX 今年毛利大于等于0.12,不相关品牌/车型,L2活动级否定,2.0,1.0,0.48,0.0,0.0,近7天,待模块E校验
honda cr-v 1997 rack and pinion kit,SP-AUTO-MIXS-王云-转向器大于0.12,49811275669002,B0FCY2SJ1V,358941399384907,MIX 今年毛利大于等于0.12,不相关品牌/车型,L2活动级否定,4.0,1.0,0.4,0.0,0.0,近7天,待模块E校验
power steering rack and pinion kia rio accent 2012 2017,SP-AUTO-MIXS-王云-转向器大于0.12,49811275669002,B0FCY2SJ1V,358941399384907,MIX 今年毛利大于等于0.12,不相关品牌/车型,L2活动级否定,2.0,1.0,0.03,0.0,0.0,近7天,待模块E校验
"rack and pinion, fit for 2003-2009 dodge ram 1500 pickup",SP-AUTO-MIXS-王云-转向器大于0.12,49811275669002,B0FCY2SJ1V,358941399384907,MIX 今年毛利大于等于0.12,不相关品牌/车型,L2活动级否定,2.0,1.0,0.4,0.0,0.0,近7天,待模块E校验
steering rack for lexus es 350,SP-AUTO-MIXS-王云-转向器大于0.12,49811275669002,B0FCY2SJ1V,358941399384907,MIX 今年毛利大于等于0.12,不相关品牌,L2活动级否定,2.0,1.0,0.4,0.0,0.0,近7天,待模块E校验
1999 toyota sienna rack and pinion,SP-AUTO-MIXS-王云-转向器大于0.12,49811275669002,B0FCY5DXQT,358941399384907,MIX 今年毛利大于等于0.12,不相关品牌/车型,L2活动级否定,3.0,1.0,0.48,0.0,0.0,近7天,待模块E校验
2002 dodge ram 1500 rack and pinion,SP-AUTO-MIXS-王云-转向器大于0.12,49811275669002,B0FCY5DXQT,358941399384907,MIX 今年毛利大于等于0.12,不相关品牌/车型,L2活动级否定,1.0,1.0,0.4,0.0,0.0,近7天,待模块E校验
2005 dodge dakota rack and pinion steering assembly,SP-AUTO-MIXS-王云-转向器大于0.12,49811275669002,B0FCY5DXQT,358941399384907,MIX 今年毛利大于等于0.12,不相关品牌/车型,L2活动级否定,2.0,1.0,0.4,1.0,245.99,近7天,待模块E校验
2009 audi a4 rack and pinion,SP-AUTO-MIXS-王云-转向器大于0.12,49811275669002,B0FCY5DXQT,358941399384907,MIX 今年毛利大于等于0.12,不相关品牌/车型,L2活动级否定,2.0,1.0,0.48,0.0,0.0,近7天,待模块E校验
2012 gmc canyon rack and pinion,SP-AUTO-MIXS-王云-转向器大于0.12,49811275669002,B0FCY5DXQT,358941399384907,MIX 今年毛利大于等于0.12,不相关品牌/车型,L2活动级否定,1.0,1.0,0.48,0.0,0.0,近7天,待模块E校验
power steering rack and pinion assembly compatible for 2007-2011 honda cr-v japan built,SP-AUTO-MIXS-王云-转向器大于0.12,49811275669002,B0FCY5DXQT,358941399384907,MIX 今年毛利大于等于0.12,不相关品牌/车型,L2活动级否定,2.0,1.0,0.4,0.0,0.0,近7天,待模块E校验
rack and pinion assembly 2.4l mitsubishi outlander replacement,SP-AUTO-MIXS-王云-转向器大于0.12,49811275669002,B0FCY5DXQT,358941399384907,MIX 今年毛利大于等于0.12,不相关品牌/车型,L2活动级否定,2.0,1.0,0.03,0.0,0.0,近7天,待模块E校验
rack and pinion assembly hyundai santa fe kia sorento,SP-AUTO-MIXS-王云-转向器大于0.12,49811275669002,B0FCY5DXQT,358941399384907,MIX 今年毛利大于等于0.12,不相关品牌/车型,L2活动级否定,1.0,1.0,0.03,0.0,0.0,近7天,待模块E校验
rack and pinion for 2008 ford explorer,SP-AUTO-MIXS-王云-转向器大于0.12,49811275669002,B0FCY5DXQT,358941399384907,MIX 今年毛利大于等于0.12,不相关品牌/车型,L2活动级否定,4.0,1.0,0.4,0.0,0.0,近7天,待模块E校验
rack and pinion steering unit 1987 toyota camry le,SP-AUTO-MIXS-王云-转向器大于0.12,49811275669002,B0FCY5DXQT,358941399384907,MIX 今年毛利大于等于0.12,不相关品牌/车型,L2活动级否定,1.0,1.0,0.4,0.0,0.0,近7天,待模块E校验
steering rack for ford trac 2001,SP-AUTO-MIXS-王云-转向器大于0.12,49811275669002,B0FCY5DXQT,358941399384907,MIX 今年毛利大于等于0.12,不相关品牌,L2活动级否定,3.0,2.0,0.8,0.0,0.0,近7天,待模块E校验
2000 toyota tacoma rack and pinion,SP-KW-BR-LXX-steering-B0GGRPCTLZ-年份车型-BS,61928172652888,B0GGRVNLHG,155620685238872,SP-KW-BR-LXX-steering-B0GGRPCTLZ-年份车型-BS,适配外年份,L2活动级否定,7.0,1.0,0.79,0.0,0.0,近7天,待模块E校验
2005 buick lesabre rack and pinion,SP-AUTO-MIXS-王云-转向器-OO4SGE34000,71625158862907,B0H6WHS9SC,475104536808519,OO4SGE34000,不相关品牌,L2活动级否定,1.0,1.0,0.6,0.0,0.0,近7天,待模块E校验
honda pilot 2014 steering rack,SP-KW-BR-王云-转向器-B0GQZ68DTZ-KX4SGE09200,72312284171248,B0GQZ68DTZ,264285520395221,GFNF,适配外年份,L2活动级否定,1.0,1.0,1.07,0.0,0.0,近7天,待模块E校验
2001 toyota tundra rack and pinion,SP-KW-BR-LXX-Steering-B0GGRG8WHM-年份车型-BS,73523872393772,B0GGRG8WHM,95831802153283,SP-KW-BR-LXX-Steering-B0GGRG8WHM-年份车型-BS,适配外年份,L2活动级否定,22.0,1.0,0.85,0.0,0.0,近7天,待模块E校验
2003 toyota tundra steering rack,SP-KW-BR-LXX-Steering-B0GGRG8WHM-年份车型-BS,73523872393772,B0GGRG8WHM,95831802153283,SP-KW-BR-LXX-Steering-B0GGRG8WHM-年份车型-BS,适配外年份,L2活动级否定,5.0,2.0,1.65,0.0,0.0,近7天,待模块E校验
rack and pinion 2006 toyota tundra,SP-KW-BR-LXX-Steering-B0GGRG8WHM-年份车型-BS,73523872393772,B0GGRG8WHM,95831802153283,SP-KW-BR-LXX-Steering-B0GGRG8WHM-年份车型-BS,适配外年份,L2活动级否定,4.0,1.0,0.85,0.0,0.0,近7天,待模块E校验
rack and pinion toyota tundra 2005,SP-KW-BR-LXX-Steering-B0GGRG8WHM-年份车型-BS,73523872393772,B0GGRG8WHM,95831802153283,SP-KW-BR-LXX-Steering-B0GGRG8WHM-年份车型-BS,适配外年份,L2活动级否定,1.0,1.0,0.85,0.0,0.0,近7天,待模块E校验
2006 acura tl rack and pinion,SP-KW-BR-LXX-steering-B0GGRKXPRZ-年份车型-BS,86454565772850,B0GGRKXPRZ,43664220683774,civi,不相关品牌/车型,L2活动级否定,1.0,1.0,0.47,0.0,0.0,近7天,待模块E校验
2007 honda civic rack and pinion,SP-KW-BR-LXX-steering-B0GGRKXPRZ-年份车型-BS,86454565772850,B0GGRKXPRZ,43664220683774,civi,适配外年份,L2活动级否定,1.0,1.0,1.2,0.0,0.0,近7天,待模块E校验
hydraulic steering rack honda civic 2008,SP-KW-BR-LXX-steering-B0GGRKXPRZ-年份车型-BS,86454565772850,B0GGRKXPRZ,43664220683774,civi,适配外年份,L2活动级否定,2.0,1.0,1.26,0.0,0.0,近7天,待模块E校验
steering rack for honda civic 2006,SP-KW-BR-LXX-steering-B0GGRKXPRZ-年份车型-BS,86454565772850,B0GGRKXPRZ,43664220683774,civi,适配外年份,L2活动级否定,2.0,1.0,1.2,0.0,0.0,近7天,待模块E校验
2001 toyota tundra steering rack,SP-KW-BR-王云-转向器-B0CN15P14D-KC4PSP16000,90360036699472,B0CN15P14D,164171914956827,SP-KW-转向器-王云-KC4PSP16000-B0CN15P14D,适配外年份,L2活动级否定,4.0,1.0,0.68,0.0,0.0,近7天,待模块E校验
1994 toyota corolla steering rack,SP-KW-BR-LXX-steering-T-品牌词根-BS,93182329373564,B0GGRGLMRS,246548062654738,SP-KW-BR-LXX-steering-T-品牌词根-BS,适配外年份,L2活动级否定,4.0,1.0,0.6,0.0,0.0,近7天,待模块E校验
toyota corolla ae110 steering rack 1995 right hand drive,SP-KW-BR-LXX-steering-T-品牌词根-BS,93182329373564,B0GGRGLMRS,246548062654738,SP-KW-BR-LXX-steering-T-品牌词根-BS,适配外年份,L2活动级否定,1.0,1.0,0.6,0.0,0.0,近7天,待模块E校验
1996 toyota corolla rack and pinion,SP-KW-BR-LXX-Steering-B0GGRGLMRS-年份车型-BS,95558575236247,B0GGRGLMRS,164428403782030,SP-KW-BR-LXX-Steering-B0GGRGLMRS-年份车型,适配外年份,L2活动级否定,1.0,1.0,1.32,0.0,0.0,近7天,待模块E校验
1998 toyota corolla rack and pinion,SP-KW-BR-LXX-Steering-B0GGRGLMRS-年份车型-BS,95558575236247,B0GGRGLMRS,164428403782030,SP-KW-BR-LXX-Steering-B0GGRGLMRS-年份车型,适配外年份,L2活动级否定,5.0,1.0,0.6,0.0,0.0,近7天,待模块E校验
2000 toyota corolla power steering rack,SP-KW-BR-LXX-Steering-B0GGRGLMRS-年份车型-BS,95558575236247,B0GGRGLMRS,164428403782030,SP-KW-BR-LXX-Steering-B0GGRGLMRS-年份车型,适配外年份,L2活动级否定,1.0,1.0,1.32,0.0,0.0,近7天,待模块E校验
2001 toyota corolla rack and pinion,SP-KW-BR-LXX-Steering-B0GGRGLMRS-年份车型-BS,95558575236247,B0GGRGLMRS,164428403782030,SP-KW-BR-LXX-Steering-B0GGRGLMRS-年份车型,适配外年份,L2活动级否定,1.0,1.0,1.32,0.0,0.0,近7天,待模块E校验
rack and pinion 2001 toyota corolla,SP-KW-BR-LXX-Steering-B0GGRGLMRS-年份车型-BS,95558575236247,B0GGRGLMRS,164428403782030,SP-KW-BR-LXX-Steering-B0GGRGLMRS-年份车型,适配外年份,L2活动级否定,1.0,1.0,1.32,0.0,0.0,近7天,待模块E校验
2003 chevrolet venture rack and pinion,SP-KW-MIXS-王云-转向器-OO4SGE34000,95934807766687,B0H6WHS9SC,196850995274172,OO4SGE34000,适配外年份,L2活动级否定,26.0,2.0,1.66,0.0,0.0,近7天,待模块E校验
2007 buick rendezvous rack and pinion,SP-KW-MIXS-王云-转向器-OO4SGE34000,95934807766687,B0H6WHS9SC,196850995274172,OO4SGE34000,适配外年份,L2活动级否定,4.0,1.0,0.83,1.0,164.62,近7天,待模块E校验
2003 acura mdx rack and pinion,SP-AUTO-MIXS-王云-转向器-OO4SGE38000,97735560875290,B0GTT7Y37J,551946022230215,OO4SGE38000,适配外年份,L2活动级否定,1.0,1.0,0.6,0.0,0.0,近7天,待模块E校验
2007 gmc sierra 1500 blue toprack and pinion,SP-AUTO-MIXS-王云-转向器-OO4SGE35600,100433204518578,B0GSD39Q7L,369236878676465,OO4SGE35600,不相关品牌/车型,L2活动级否定,3.0,1.0,0.45,0.0,0.0,近7天,待模块E校验
1999 honda civic rack and pinion,SP-KW-BR-王云-转向器-B0DPMWTLZB-KC4PSP15900,108434675542588,B0DPMWTLZB,102828193349774,KC4PSP15900,不相关品牌/车型,L2活动级否定,2.0,1.0,0.65,0.0,0.0,近7天,待模块E校验
2002 honda accord rack and pinion set,SP-KW-BR-王云-转向器-B0DPMWTLZB-KC4PSP15900,108434675542588,B0DPMWTLZB,102828193349774,KC4PSP15900,不相关品牌/车型,L2活动级否定,2.0,1.0,0.65,0.0,0.0,近7天,待模块E校验
