待否词,广告活动,活动ID,ASIN,原判定类型,原应用层级,适配状态,可否决,原因,处理动作,确认状态
rack and pinion boot kia soul 2014,SP-AUTO-MIXS-王云-转向器大于0.12,49811275669002,B0D2D19CXW,不相关品牌/车型,L2活动级否定,混合活动其他ASIN适配,可否定（仅广告组）,该ASIN不适配，但同活动其他ASIN适配,仅对该ASIN广告组否定（L3）,待运营确认
rack and pinion ford explorer 2013,SP-AUTO-MIXS-王云-转向器大于0.12,49811275669002,B0D2D19CXW,不相关品牌/车型,L2活动级否定,适配外,可否定,未命中该ASIN适配范围,按模块D层级否定,待运营确认
rack and pinion honda crv 2007,SP-AUTO-MIXS-王云-转向器大于0.12,49811275669002,B0D2D19CXW,不相关品牌,L2活动级否定,适配外,可否定,未命中该ASIN适配范围,按模块D层级否定,待运营确认
rack and pinion steering assembly ford ranger 1998,SP-AUTO-MIXS-王云-转向器大于0.12,49811275669002,B0D2D19CXW,不相关品牌/车型,L2活动级否定,混合活动其他ASIN适配,可否定（仅广告组）,该ASIN不适配，但同活动其他ASIN适配,仅对该ASIN广告组否定（L3）,待运营确认
steering rack for bmw 2004 325 ci,SP-AUTO-MIXS-王云-转向器大于0.12,49811275669002,B0D2D19CXW,不相关品牌,L2活动级否定,适配外,可否定,未命中该ASIN适配范围,按模块D层级否定,待运营确认
02 lexus rx300 steering rack,SP-AUTO-MIXS-王云-转向器大于0.12,49811275669002,B0DWMW2718,不相关品牌/车型,L2活动级否定,混合活动其他ASIN适配,可否定（仅广告组）,该ASIN不适配，但同活动其他ASIN适配,仅对该ASIN广告组否定（L3）,待运营确认
1990 toyota corolla rack and pinion,SP-AUTO-MIXS-王云-转向器大于0.12,49811275669002,B0DWMW2718,不相关品牌/车型,L2活动级否定,适配外,可否定,未命中该ASIN适配范围,按模块D层级否定,待运营确认
1995 dodge dakota rack and pinion,SP-AUTO-MIXS-王云-转向器大于0.12,49811275669002,B0DWMW2718,不相关品牌/车型,L2活动级否定,适配外,可否定,未命中该ASIN适配范围,按模块D层级否定,待运营确认
2004 toyota 4runner 4.0 rack and pinion,SP-AUTO-MIXS-王云-转向器大于0.12,49811275669002,B0DWMW2718,不相关品牌/车型,L2活动级否定,混合活动其他ASIN适配,可否定（仅广告组）,该ASIN不适配，但同活动其他ASIN适配,仅对该ASIN广告组否定（L3）,待运营确认
2005 nissan murano awd power steering rack new,SP-AUTO-MIXS-王云-转向器大于0.12,49811275669002,B0DWMW2718,不相关品牌/车型,L2活动级否定,混合活动其他ASIN适配,可否定（仅广告组）,该ASIN不适配，但同活动其他ASIN适配,仅对该ASIN广告组否定（L3）,待运营确认
2008 honda accord se 3.5 rack and pinion assy,SP-AUTO-MIXS-王云-转向器大于0.12,49811275669002,B0DWMW2718,不相关品牌/车型,L2活动级否定,混合活动其他ASIN适配,可否定（仅广告组）,该ASIN不适配，但同活动其他ASIN适配,仅对该ASIN广告组否定（L3）,待运营确认
2011 subaru legacy rack and pinion,SP-AUTO-MIXS-王云-转向器大于0.12,49811275669002,B0DWMW2718,不相关品牌/车型,L2活动级否定,适配外,可否定,未命中该ASIN适配范围,按模块D层级否定,待运营确认
honda odyssey 1996 power steering rack,SP-AUTO-MIXS-王云-转向器大于0.12,49811275669002,B0DWMW2718,不相关品牌/车型,L2活动级否定,适配外,可否定,未命中该ASIN适配范围,按模块D层级否定,待运营确认
hyundai kona 2021 car rack and pinion,SP-AUTO-MIXS-王云-转向器大于0.12,49811275669002,B0DWMW2718,不相关品牌,L2活动级否定,适配外,可否定,未命中该ASIN适配范围,按模块D层级否定,待运营确认
power steering rack and pinion kia sorento 2011,SP-AUTO-MIXS-王云-转向器大于0.12,49811275669002,B0DWMW2718,不相关品牌/车型,L2活动级否定,混合活动其他ASIN适配,可否定（仅广告组）,该ASIN不适配，但同活动其他ASIN适配,仅对该ASIN广告组否定（L3）,待运营确认
power steering rack ford ranger 1999,SP-AUTO-MIXS-王云-转向器大于0.12,49811275669002,B0DWMW2718,不相关品牌/车型,L2活动级否定,混合活动其他ASIN适配,可否定（仅广告组）,该ASIN不适配，但同活动其他ASIN适配,仅对该ASIN广告组否定（L3）,待运营确认
power steering rack ram 1500,SP-AUTO-MIXS-王云-转向器大于0.12,49811275669002,B0DWMW2718,不相关品牌/车型,L2活动级否定,混合活动其他ASIN适配,可否定（仅广告组）,该ASIN不适配，但同活动其他ASIN适配,仅对该ASIN广告组否定（L3）,待运营确认
rack and pinion cadillac eldorado,SP-AUTO-MIXS-王云-转向器大于0.12,49811275669002,B0DWMW2718,不相关品牌,L2活动级否定,适配外,可否定,未命中该ASIN适配范围,按模块D层级否定,待运营确认
rack and pinion for honda odyssey 2012,SP-AUTO-MIXS-王云-转向器大于0.12,49811275669002,B0DWMW2718,不相关品牌/车型,L2活动级否定,混合活动其他ASIN适配,可否定（仅广告组）,该ASIN不适配，但同活动其他ASIN适配,仅对该ASIN广告组否定（L3）,待运营确认
rack and pinion for hyundai kona 2021,SP-AUTO-MIXS-王云-转向器大于0.12,49811275669002,B0DWMW2718,不相关品牌,L2活动级否定,适配外,可否定,未命中该ASIN适配范围,按模块D层级否定,待运营确认
rack and pinion ford ranger 1998,SP-AUTO-MIXS-王云-转向器大于0.12,49811275669002,B0DWMW2718,不相关品牌/车型,L2活动级否定,混合活动其他ASIN适配,可否定（仅广告组）,该ASIN不适配，但同活动其他ASIN适配,仅对该ASIN广告组否定（L3）,待运营确认
rack and pinion honda crv 2008,SP-AUTO-MIXS-王云-转向器大于0.12,49811275669002,B0DWMW2718,不相关品牌,L2活动级否定,适配外,可否定,未命中该ASIN适配范围,按模块D层级否定,待运营确认
rack and pinion hyundai elantra 2013,SP-AUTO-MIXS-王云-转向器大于0.12,49811275669002,B0DWMW2718,适配外年份,L2活动级否定,正确车型/年份,禁止否定,搜索词命中该ASIN适配品牌/车型/年份,从否词清单移除,待运营确认
steering rack and pinion for suzuki grand vitara,SP-AUTO-MIXS-王云-转向器大于0.12,49811275669002,B0DWMW2718,不相关品牌/车型,L2活动级否定,混合活动其他ASIN适配,可否定（仅广告组）,该ASIN不适配，但同活动其他ASIN适配,仅对该ASIN广告组否定（L3）,待运营确认
steering rack and pinion seal kit for acura integra 1993,SP-AUTO-MIXS-王云-转向器大于0.12,49811275669002,B0DWMW2718,不相关品牌/车型,L2活动级否定,适配外,可否定,未命中该ASIN适配范围,按模块D层级否定,待运营确认
toyota sienna 2001 hydraulic steering rack,SP-AUTO-MIXS-王云-转向器大于0.12,49811275669002,B0DWMW2718,不相关品牌/车型,L2活动级否定,混合活动其他ASIN适配,可否定（仅广告组）,该ASIN不适配，但同活动其他ASIN适配,仅对该ASIN广告组否定（L3）,待运营确认
1999 isuzu amigo rack and pinion,SP-AUTO-MIXS-王云-转向器大于0.12,49811275669002,B0F6LQ1J5Y,不相关品牌,L2活动级否定,适配外,可否定,未命中该ASIN适配范围,按模块D层级否定,待运营确认
2002 nissan sentra ser rack and pinion,SP-AUTO-MIXS-王云-转向器大于0.12,49811275669002,B0F6LQ1J5Y,不相关品牌/车型,L2活动级否定,混合活动其他ASIN适配,可否定（仅广告组）,该ASIN不适配，但同活动其他ASIN适配,仅对该ASIN广告组否定（L3）,待运营确认
2005-2010 honda odyssey steering gear/rack power rack and pinion,SP-AUTO-MIXS-王云-转向器大于0.12,49811275669002,B0F6LQ1J5Y,不相关品牌/车型,L2活动级否定,混合活动其他ASIN适配,可否定（仅广告组）,该ASIN不适配，但同活动其他ASIN适配,仅对该ASIN广告组否定（L3）,待运营确认
2007 gmc yukon rack and pinion,SP-AUTO-MIXS-王云-转向器大于0.12,49811275669002,B0F6LQ1J5Y,不相关品牌/车型,L2活动级否定,混合活动其他ASIN适配,可否定（仅广告组）,该ASIN不适配，但同活动其他ASIN适配,仅对该ASIN广告组否定（L3）,待运营确认
bmw rack and pinion,SP-AUTO-MIXS-王云-转向器大于0.12,49811275669002,B0F6LQ1J5Y,不相关品牌,L2活动级否定,适配外,可否定,未命中该ASIN适配范围,按模块D层级否定,待运营确认
electric power steering rack ford f150 2014,SP-AUTO-MIXS-王云-转向器大于0.12,49811275669002,B0F6LQ1J5Y,不相关品牌,L2活动级否定,适配外,可否定,未命中该ASIN适配范围,按模块D层级否定,待运营确认
hydraulic steering rack for mitsubishi pajero io,SP-AUTO-MIXS-王云-转向器大于0.12,49811275669002,B0F6LQ1J5Y,不相关品牌,L2活动级否定,适配外,可否定,未命中该ASIN适配范围,按模块D层级否定,待运营确认
kit reparation hydraulic power steering rack and pinion compatible with 2008-2012 honda accord 2.4l 3.5l oem# 26-2746 53601ta5a02 53601ta6a02,SP-AUTO-MIXS-王云-转向器大于0.12,49811275669002,B0F6LQ1J5Y,不相关品牌/车型,L2活动级否定,混合活动其他ASIN适配,可否定（仅广告组）,该ASIN不适配，但同活动其他ASIN适配,仅对该ASIN广告组否定（L3）,待运营确认
rack and pinion 1999 toyota sienna 6 cylinder,SP-AUTO-MIXS-王云-转向器大于0.12,49811275669002,B0F6LQ1J5Y,不相关品牌/车型,L2活动级否定,混合活动其他ASIN适配,可否定（仅广告组）,该ASIN不适配，但同活动其他ASIN适配,仅对该ASIN广告组否定（L3）,待运营确认
rack and pinion 2016 ram,SP-AUTO-MIXS-王云-转向器大于0.12,49811275669002,B0F6LQ1J5Y,不相关品牌,L2活动级否定,适配外,可否定,未命中该ASIN适配范围,按模块D层级否定,待运营确认
rack and pinion 99 nissan pathfinder,SP-AUTO-MIXS-王云-转向器大于0.12,49811275669002,B0F6LQ1J5Y,不相关品牌,L2活动级否定,适配外,可否定,未命中该ASIN适配范围,按模块D层级否定,待运营确认
rack and pinion 99 toyota tacoma,SP-AUTO-MIXS-王云-转向器大于0.12,49811275669002,B0F6LQ1J5Y,不相关品牌/车型,L2活动级否定,混合活动其他ASIN适配,可否定（仅广告组）,该ASIN不适配，但同活动其他ASIN适配,仅对该ASIN广告组否定（L3）,待运营确认
rack and pinion for 87 toyota corolla,SP-AUTO-MIXS-王云-转向器大于0.12,49811275669002,B0F6LQ1J5Y,不相关品牌/车型,L2活动级否定,混合活动其他ASIN适配,可否定（仅广告组）,该ASIN不适配，但同活动其他ASIN适配,仅对该ASIN广告组否定（L3）,待运营确认
rack and pinion hyundai excel,SP-AUTO-MIXS-王云-转向器大于0.12,49811275669002,B0F6LQ1J5Y,不相关品牌,L2活动级否定,适配外,可否定,未命中该ASIN适配范围,按模块D层级否定,待运营确认
07 chevrolet express 1500 awd rack and pinion,SP-AUTO-MIXS-王云-转向器大于0.12,49811275669002,B0FCY2SJ1V,不相关品牌/车型,L2活动级否定,混合活动其他ASIN适配,可否定（仅广告组）,该ASIN不适配，但同活动其他ASIN适配,仅对该ASIN广告组否定（L3）,待运营确认
09 subaru outback 2.5 power steering rack,SP-AUTO-MIXS-王云-转向器大于0.12,49811275669002,B0FCY2SJ1V,不相关品牌/车型,L2活动级否定,混合活动其他ASIN适配,可否定（仅广告组）,该ASIN不适配，但同活动其他ASIN适配,仅对该ASIN广告组否定（L3）,待运营确认
16 ford fusion rack and pinion,SP-AUTO-MIXS-王云-转向器大于0.12,49811275669002,B0FCY2SJ1V,不相关品牌,L2活动级否定,适配外,可否定,未命中该ASIN适配范围,按模块D层级否定,待运营确认
1999 ford mustang rack and pinion,SP-AUTO-MIXS-王云-转向器大于0.12,49811275669002,B0FCY2SJ1V,不相关品牌/车型,L2活动级否定,混合活动其他ASIN适配,可否定（仅广告组）,该ASIN不适配，但同活动其他ASIN适配,仅对该ASIN广告组否定（L3）,待运营确认
2001 gmc yukon xl rack and pinion,SP-AUTO-MIXS-王云-转向器大于0.12,49811275669002,B0FCY2SJ1V,不相关品牌/车型,L2活动级否定,适配外,可否定,未命中该ASIN适配范围,按模块D层级否定,待运营确认
2003 ford ranger super cab rack and pinion,SP-AUTO-MIXS-王云-转向器大于0.12,49811275669002,B0FCY2SJ1V,不相关品牌/车型,L2活动级否定,混合活动其他ASIN适配,可否定（仅广告组）,该ASIN不适配，但同活动其他ASIN适配,仅对该ASIN广告组否定（L3）,待运营确认
2011 ford f150 electronic rack and pinion,SP-AUTO-MIXS-王云-转向器大于0.12,49811275669002,B0FCY2SJ1V,不相关品牌,L2活动级否定,适配外,可否定,未命中该ASIN适配范围,按模块D层级否定,待运营确认
2011 kia optima rack and pinion,SP-AUTO-MIXS-王云-转向器大于0.12,49811275669002,B0FCY2SJ1V,不相关品牌,L2活动级否定,适配外,可否定,未命中该ASIN适配范围,按模块D层级否定,待运营确认
2011 subaru outback steering rack,SP-AUTO-MIXS-王云-转向器大于0.12,49811275669002,B0FCY2SJ1V,不相关品牌/车型,L2活动级否定,适配外,可否定,未命中该ASIN适配范围,按模块D层级否定,待运营确认
gmc envoy power steering rack and pump,SP-AUTO-MIXS-王云-转向器大于0.12,49811275669002,B0FCY2SJ1V,不相关品牌/车型,L2活动级否定,混合活动其他ASIN适配,可否定（仅广告组）,该ASIN不适配，但同活动其他ASIN适配,仅对该ASIN广告组否定（L3）,待运营确认
honda cr-v 1997 rack and pinion kit,SP-AUTO-MIXS-王云-转向器大于0.12,49811275669002,B0FCY2SJ1V,不相关品牌/车型,L2活动级否定,混合活动其他ASIN适配,可否定（仅广告组）,该ASIN不适配，但同活动其他ASIN适配,仅对该ASIN广告组否定（L3）,待运营确认
power steering rack and pinion kia rio accent 2012 2017,SP-AUTO-MIXS-王云-转向器大于0.12,49811275669002,B0FCY2SJ1V,不相关品牌/车型,L2活动级否定,混合活动其他ASIN适配,可否定（仅广告组）,该ASIN不适配，但同活动其他ASIN适配,仅对该ASIN广告组否定（L3）,待运营确认
"rack and pinion, fit for 2003-2009 dodge ram 1500 pickup",SP-AUTO-MIXS-王云-转向器大于0.12,49811275669002,B0FCY2SJ1V,不相关品牌/车型,L2活动级否定,混合活动其他ASIN适配,可否定（仅广告组）,该ASIN不适配，但同活动其他ASIN适配,仅对该ASIN广告组否定（L3）,待运营确认
steering rack for lexus es 350,SP-AUTO-MIXS-王云-转向器大于0.12,49811275669002,B0FCY2SJ1V,不相关品牌,L2活动级否定,适配外,可否定,未命中该ASIN适配范围,按模块D层级否定,待运营确认
1999 toyota sienna rack and pinion,SP-AUTO-MIXS-王云-转向器大于0.12,49811275669002,B0FCY5DXQT,不相关品牌/车型,L2活动级否定,混合活动其他ASIN适配,可否定（仅广告组）,该ASIN不适配，但同活动其他ASIN适配,仅对该ASIN广告组否定（L3）,待运营确认
2002 dodge ram 1500 rack and pinion,SP-AUTO-MIXS-王云-转向器大于0.12,49811275669002,B0FCY5DXQT,不相关品牌/车型,L2活动级否定,混合活动其他ASIN适配,可否定（仅广告组）,该ASIN不适配，但同活动其他ASIN适配,仅对该ASIN广告组否定（L3）,待运营确认
2005 dodge dakota rack and pinion steering assembly,SP-AUTO-MIXS-王云-转向器大于0.12,49811275669002,B0FCY5DXQT,不相关品牌/车型,L2活动级否定,混合活动其他ASIN适配,可否定（仅广告组）,该ASIN不适配，但同活动其他ASIN适配,仅对该ASIN广告组否定（L3）,待运营确认
2009 audi a4 rack and pinion,SP-AUTO-MIXS-王云-转向器大于0.12,49811275669002,B0FCY5DXQT,不相关品牌/车型,L2活动级否定,适配外,可否定,未命中该ASIN适配范围,按模块D层级否定,待运营确认
2012 gmc canyon rack and pinion,SP-AUTO-MIXS-王云-转向器大于0.12,49811275669002,B0FCY5DXQT,不相关品牌/车型,L2活动级否定,混合活动其他ASIN适配,可否定（仅广告组）,该ASIN不适配，但同活动其他ASIN适配,仅对该ASIN广告组否定（L3）,待运营确认
power steering rack and pinion assembly compatible for 2007-2011 honda cr-v japan built,SP-AUTO-MIXS-王云-转向器大于0.12,49811275669002,B0FCY5DXQT,不相关品牌/车型,L2活动级否定,混合活动其他ASIN适配,可否定（仅广告组）,该ASIN不适配，但同活动其他ASIN适配,仅对该ASIN广告组否定（L3）,待运营确认
rack and pinion assembly 2.4l mitsubishi outlander replacement,SP-AUTO-MIXS-王云-转向器大于0.12,49811275669002,B0FCY5DXQT,不相关品牌/车型,L2活动级否定,混合活动其他ASIN适配,可否定（仅广告组）,该ASIN不适配，但同活动其他ASIN适配,仅对该ASIN广告组否定（L3）,待运营确认
rack and pinion assembly hyundai santa fe kia sorento,SP-AUTO-MIXS-王云-转向器大于0.12,49811275669002,B0FCY5DXQT,不相关品牌/车型,L2活动级否定,混合活动其他ASIN适配,可否定（仅广告组）,该ASIN不适配，但同活动其他ASIN适配,仅对该ASIN广告组否定（L3）,待运营确认
rack and pinion for 2008 ford explorer,SP-AUTO-MIXS-王云-转向器大于0.12,49811275669002,B0FCY5DXQT,不相关品牌/车型,L2活动级否定,适配外,可否定,未命中该ASIN适配范围,按模块D层级否定,待运营确认
rack and pinion steering unit 1987 toyota camry le,SP-AUTO-MIXS-王云-转向器大于0.12,49811275669002,B0FCY5DXQT,不相关品牌/车型,L2活动级否定,适配外,可否定,未命中该ASIN适配范围,按模块D层级否定,待运营确认
steering rack for ford trac 2001,SP-AUTO-MIXS-王云-转向器大于0.12,49811275669002,B0FCY5DXQT,不相关品牌,L2活动级否定,适配外,可否定,未命中该ASIN适配范围,按模块D层级否定,待运营确认
2000 toyota tacoma rack and pinion,SP-KW-BR-LXX-steering-B0GGRPCTLZ-年份车型-BS,61928172652888,B0GGRVNLHG,适配外年份,L2活动级否定,正确车型/年份,禁止否定,搜索词命中该ASIN适配品牌/车型/年份,从否词清单移除,待运营确认
2005 buick lesabre rack and pinion,SP-AUTO-MIXS-王云-转向器-OO4SGE34000,71625158862907,B0H6WHS9SC,不相关品牌,L2活动级否定,适配外,可否定,未命中该ASIN适配范围,按模块D层级否定,待运营确认
honda pilot 2014 steering rack,SP-KW-BR-王云-转向器-B0GQZ68DTZ-KX4SGE09200,72312284171248,B0GQZ68DTZ,适配外年份,L2活动级否定,正确车型/年份,禁止否定,搜索词命中该ASIN适配品牌/车型/年份,从否词清单移除,待运营确认
2001 toyota tundra rack and pinion,SP-KW-BR-LXX-Steering-B0GGRG8WHM-年份车型-BS,73523872393772,B0GGRG8WHM,适配外年份,L2活动级否定,正确车型/年份,禁止否定,搜索词命中该ASIN适配品牌/车型/年份,从否词清单移除,待运营确认
2003 toyota tundra steering rack,SP-KW-BR-LXX-Steering-B0GGRG8WHM-年份车型-BS,73523872393772,B0GGRG8WHM,适配外年份,L2活动级否定,正确车型/年份,禁止否定,搜索词命中该ASIN适配品牌/车型/年份,从否词清单移除,待运营确认
rack and pinion 2006 toyota tundra,SP-KW-BR-LXX-Steering-B0GGRG8WHM-年份车型-BS,73523872393772,B0GGRG8WHM,适配外年份,L2活动级否定,正确车型/年份,禁止否定,搜索词命中该ASIN适配品牌/车型/年份,从否词清单移除,待运营确认
rack and pinion toyota tundra 2005,SP-KW-BR-LXX-Steering-B0GGRG8WHM-年份车型-BS,73523872393772,B0GGRG8WHM,适配外年份,L2活动级否定,正确车型/年份,禁止否定,搜索词命中该ASIN适配品牌/车型/年份,从否词清单移除,待运营确认
2006 acura tl rack and pinion,SP-KW-BR-LXX-steering-B0GGRKXPRZ-年份车型-BS,86454565772850,B0GGRKXPRZ,不相关品牌/车型,L2活动级否定,适配外,可否定,未命中该ASIN适配范围,按模块D层级否定,待运营确认
2007 honda civic rack and pinion,SP-KW-BR-LXX-steering-B0GGRKXPRZ-年份车型-BS,86454565772850,B0GGRKXPRZ,适配外年份,L2活动级否定,正确车型/年份,禁止否定,搜索词命中该ASIN适配品牌/车型/年份,从否词清单移除,待运营确认
hydraulic steering rack honda civic 2008,SP-KW-BR-LXX-steering-B0GGRKXPRZ-年份车型-BS,86454565772850,B0GGRKXPRZ,适配外年份,L2活动级否定,正确车型/年份,禁止否定,搜索词命中该ASIN适配品牌/车型/年份,从否词清单移除,待运营确认
steering rack for honda civic 2006,SP-KW-BR-LXX-steering-B0GGRKXPRZ-年份车型-BS,86454565772850,B0GGRKXPRZ,适配外年份,L2活动级否定,正确车型/年份,禁止否定,搜索词命中该ASIN适配品牌/车型/年份,从否词清单移除,待运营确认
2001 toyota tundra steering rack,SP-KW-BR-王云-转向器-B0CN15P14D-KC4PSP16000,90360036699472,B0CN15P14D,适配外年份,L2活动级否定,正确车型/年份,禁止否定,搜索词命中该ASIN适配品牌/车型/年份,从否词清单移除,待运营确认
1994 toyota corolla steering rack,SP-KW-BR-LXX-steering-T-品牌词根-BS,93182329373564,B0GGRGLMRS,适配外年份,L2活动级否定,正确车型/年份,禁止否定,搜索词命中该ASIN适配品牌/车型/年份,从否词清单移除,待运营确认
toyota corolla ae110 steering rack 1995 right hand drive,SP-KW-BR-LXX-steering-T-品牌词根-BS,93182329373564,B0GGRGLMRS,适配外年份,L2活动级否定,正确车型/年份,禁止否定,搜索词命中该ASIN适配品牌/车型/年份,从否词清单移除,待运营确认
1996 toyota corolla rack and pinion,SP-KW-BR-LXX-Steering-B0GGRGLMRS-年份车型-BS,95558575236247,B0GGRGLMRS,适配外年份,L2活动级否定,正确车型/年份,禁止否定,搜索词命中该ASIN适配品牌/车型/年份,从否词清单移除,待运营确认
1998 toyota corolla rack and pinion,SP-KW-BR-LXX-Steering-B0GGRGLMRS-年份车型-BS,95558575236247,B0GGRGLMRS,适配外年份,L2活动级否定,正确车型/年份,禁止否定,搜索词命中该ASIN适配品牌/车型/年份,从否词清单移除,待运营确认
2000 toyota corolla power steering rack,SP-KW-BR-LXX-Steering-B0GGRGLMRS-年份车型-BS,95558575236247,B0GGRGLMRS,适配外年份,L2活动级否定,正确车型/年份,禁止否定,搜索词命中该ASIN适配品牌/车型/年份,从否词清单移除,待运营确认
2001 toyota corolla rack and pinion,SP-KW-BR-LXX-Steering-B0GGRGLMRS-年份车型-BS,95558575236247,B0GGRGLMRS,适配外年份,L2活动级否定,正确车型/年份,禁止否定,搜索词命中该ASIN适配品牌/车型/年份,从否词清单移除,待运营确认
rack and pinion 2001 toyota corolla,SP-KW-BR-LXX-Steering-B0GGRGLMRS-年份车型-BS,95558575236247,B0GGRGLMRS,适配外年份,L2活动级否定,正确车型/年份,禁止否定,搜索词命中该ASIN适配品牌/车型/年份,从否词清单移除,待运营确认
2003 chevrolet venture rack and pinion,SP-KW-MIXS-王云-转向器-OO4SGE34000,95934807766687,B0H6WHS9SC,适配外年份,L2活动级否定,正确车型/年份,禁止否定,搜索词命中该ASIN适配品牌/车型/年份,从否词清单移除,待运营确认
2007 buick rendezvous rack and pinion,SP-KW-MIXS-王云-转向器-OO4SGE34000,95934807766687,B0H6WHS9SC,适配外年份,L2活动级否定,正确车型/年份,禁止否定,搜索词命中该ASIN适配品牌/车型/年份,从否词清单移除,待运营确认
2003 acura mdx rack and pinion,SP-AUTO-MIXS-王云-转向器-OO4SGE38000,97735560875290,B0GTT7Y37J,适配外年份,L2活动级否定,正确车型/年份,禁止否定,搜索词命中该ASIN适配品牌/车型/年份,从否词清单移除,待运营确认
2007 gmc sierra 1500 blue toprack and pinion,SP-AUTO-MIXS-王云-转向器-OO4SGE35600,100433204518578,B0GSD39Q7L,不相关品牌/车型,L2活动级否定,适配外,可否定,未命中该ASIN适配范围,按模块D层级否定,待运营确认
1999 honda civic rack and pinion,SP-KW-BR-王云-转向器-B0DPMWTLZB-KC4PSP15900,108434675542588,B0DPMWTLZB,不相关品牌/车型,L2活动级否定,适配外,可否定,未命中该ASIN适配范围,按模块D层级否定,待运营确认
2002 honda accord rack and pinion set,SP-KW-BR-王云-转向器-B0DPMWTLZB-KC4PSP15900,108434675542588,B0DPMWTLZB,不相关品牌/车型,L2活动级否定,适配外,可否定,未命中该ASIN适配范围,按模块D层级否定,待运营确认
2006 toyota tacoma rack and pinion,SP-KW-BR-LXX-steering-B0GGRBJL29-年份车型-BS,123355151989281,B0GGRBJL29,适配外年份,L2活动级否定,正确车型/年份,禁止否定,搜索词命中该ASIN适配品牌/车型/年份,从否词清单移除,待运营确认
2008 toyota tacoma masterpro power steering rack and pinion - remanufactured - 311-0223 part # 311-0223 line: mpp,SP-KW-BR-LXX-steering-B0GGRBJL29-年份车型-BS,123355151989281,B0GGRBJL29,适配外年份,L2活动级否定,正确车型/年份,禁止否定,搜索词命中该ASIN适配品牌/车型/年份,从否词清单移除,待运营确认
