ASIN,掉量起点,异常因素,事件时间点,是否对齐,核心证据,证据等级,原因分类,建议动作
B0DWMSG3ML,2026-08-25,数据不足,,未知,未发现可对齐事件或相应原数据尚未拉取,弱,观察项,补拉缺失数据后复核
B0DWMSHL7S,2026-08-22,数据不足,,未知,未发现可对齐事件或相应原数据尚未拉取,弱,观察项,补拉缺失数据后复核
B0DWMTBPZG,2026-08-21,库存异常,2026-08-11,否,THIRD_PARTY可售库存=0.0,弱,直接原因,补货并核对各仓可售库存
B0DWMTCC74,2026-08-23,购物车丢失,2026-09-08 09:41:36,否,SMC标签：无购物车或购物车异常,弱,直接原因,排查Buy Box资格、价格与配送
B0DWMTK9F5,2026-08-21,数据不足,,未知,未发现可对齐事件或相应原数据尚未拉取,弱,观察项,补拉缺失数据后复核
B0DWMV3RPH,2026-08-24,数据不足,,未知,未发现可对齐事件或相应原数据尚未拉取,弱,观察项,补拉缺失数据后复核
B0DWMV7693,2026-08-21,数据不足,,未知,未发现可对齐事件或相应原数据尚未拉取,弱,观察项,补拉缺失数据后复核
B0DWMV85N5,2026-08-21,数据不足,,未知,未发现可对齐事件或相应原数据尚未拉取,弱,观察项,补拉缺失数据后复核
B0DWMVQ3MR,2026-08-23,数据不足,,未知,未发现可对齐事件或相应原数据尚未拉取,弱,观察项,补拉缺失数据后复核
B0DWMVRNCJ,2026-08-21,数据不足,,未知,未发现可对齐事件或相应原数据尚未拉取,弱,观察项,补拉缺失数据后复核
B0DWMVST5H,2026-08-22,数据不足,,未知,未发现可对齐事件或相应原数据尚未拉取,弱,观察项,补拉缺失数据后复核
B0DWMW85HW,2026-08-23,数据不足,,未知,未发现可对齐事件或相应原数据尚未拉取,弱,观察项,补拉缺失数据后复核
B0DWMW8QBM,2026-08-23,数据不足,,未知,未发现可对齐事件或相应原数据尚未拉取,弱,观察项,补拉缺失数据后复核
B0DWMWR57F,2026-08-22,数据不足,,未知,未发现可对齐事件或相应原数据尚未拉取,弱,观察项,补拉缺失数据后复核
B0DWMWW45F,2026-08-21,库存异常,2026-08-11,否,THIRD_PARTY可售库存=0.0,弱,直接原因,补货并核对各仓可售库存
B0DWMXKTLC,2026-08-22,数据不足,,未知,未发现可对齐事件或相应原数据尚未拉取,弱,观察项,补拉缺失数据后复核
B0F43KHJC2,2026-08-23,库存异常,2026-08-19,否,THIRD_PARTY可售库存=2.0,弱,直接原因,补货并核对各仓可售库存
B0F671HGDH,2026-08-22,数据不足,,未知,未发现可对齐事件或相应原数据尚未拉取,弱,观察项,补拉缺失数据后复核
B0F671NLKP,2026-08-22,数据不足,,未知,未发现可对齐事件或相应原数据尚未拉取,弱,观察项,补拉缺失数据后复核
B0F6LJ7BNY,2026-08-21,数据不足,,未知,未发现可对齐事件或相应原数据尚未拉取,弱,观察项,补拉缺失数据后复核
B0F6LQ1KNV,2026-08-22,数据不足,,未知,未发现可对齐事件或相应原数据尚未拉取,弱,观察项,补拉缺失数据后复核
B0F6LQG5DJ,2026-08-21,购物车丢失,2026-09-08 09:41:36,否,SMC标签：无购物车或购物车异常,弱,直接原因,排查Buy Box资格、价格与配送
B0F6LQYSQ6,2026-08-22,数据不足,,未知,未发现可对齐事件或相应原数据尚未拉取,弱,观察项,补拉缺失数据后复核
B0F6LR3XNC,2026-08-21,数据不足,,未知,未发现可对齐事件或相应原数据尚未拉取,弱,观察项,补拉缺失数据后复核
B0F6LVFPSB,2026-08-21,数据不足,,未知,未发现可对齐事件或相应原数据尚未拉取,弱,观察项,补拉缺失数据后复核
B0F6Y8GRD1,2026-08-22,购物车丢失,2026-09-08 09:41:36,否,SMC标签：无购物车或购物车异常,弱,直接原因,排查Buy Box资格、价格与配送
B0F9P2QX6Z,2026-08-22,数据不足,,未知,未发现可对齐事件或相应原数据尚未拉取,弱,观察项,补拉缺失数据后复核
B0F9P34GKZ,2026-08-23,链接异常,2026-09-08 09:41:36,否,SMC标签：链接异常/变狗,弱,直接原因,检查链接状态/变体并修复
B0F9P8R4SX,2026-08-22,库存异常,2026-08-11,否,THIRD_PARTY可售库存=1.0,弱,直接原因,补货并核对各仓可售库存
B0FCXQ7839,2026-08-21,数据不足,,未知,未发现可对齐事件或相应原数据尚未拉取,弱,观察项,补拉缺失数据后复核
B0FCXR51DX,2026-08-22,库存异常,2026-08-11,否,THIRD_PARTY可售库存=2.0,弱,直接原因,补货并核对各仓可售库存
B0FCY1GJ2D,2026-08-23,数据不足,,未知,未发现可对齐事件或相应原数据尚未拉取,弱,观察项,补拉缺失数据后复核
B0FCY4HGCF,2026-08-22,数据不足,,未知,未发现可对齐事件或相应原数据尚未拉取,弱,观察项,补拉缺失数据后复核
B0FCY5JYPT,2026-08-23,数据不足,,未知,未发现可对齐事件或相应原数据尚未拉取,弱,观察项,补拉缺失数据后复核
B0FLY4JKWH,2026-08-21,购物车丢失,2026-09-08 09:41:36,否,SMC标签：无购物车或购物车异常,弱,直接原因,排查Buy Box资格、价格与配送
B0FLY773XG,2026-08-22,购物车丢失,2026-09-08 09:41:36,否,SMC标签：无购物车或购物车异常,弱,直接原因,排查Buy Box资格、价格与配送
B0G2C17JDG,2026-08-21,数据不足,,未知,未发现可对齐事件或相应原数据尚未拉取,弱,观察项,补拉缺失数据后复核
B0G7J4KXT9,2026-08-21,库存异常,2026-08-18,否,THIRD_PARTY可售库存=2.0,弱,直接原因,补货并核对各仓可售库存
B0G7JVVRK2,2026-08-21,购物车丢失,2026-09-08 09:41:36,否,SMC标签：无购物车或购物车异常,弱,直接原因,排查Buy Box资格、价格与配送
B0G7K7V3RD,2026-08-22,数据不足,,未知,未发现可对齐事件或相应原数据尚未拉取,弱,观察项,补拉缺失数据后复核
B0GCM51F8V,2026-08-22,购物车丢失,2026-09-08 09:41:36,否,SMC标签：无购物车或购物车异常,弱,直接原因,排查Buy Box资格、价格与配送
B0GQZ5YHNS,2026-08-22,数据不足,,未知,未发现可对齐事件或相应原数据尚未拉取,弱,观察项,补拉缺失数据后复核
B0GQZ68DTZ,2026-08-23,购物车丢失,2026-09-08 09:41:36,否,SMC标签：无购物车或购物车异常,弱,直接原因,排查Buy Box资格、价格与配送
B0GQZ8T7R1,2026-08-22,数据不足,,未知,未发现可对齐事件或相应原数据尚未拉取,弱,观察项,补拉缺失数据后复核
B0GQZBK3H6,2026-08-21,数据不足,,未知,未发现可对齐事件或相应原数据尚未拉取,弱,观察项,补拉缺失数据后复核
B0GQZCPKQ3,2026-08-22,数据不足,,未知,未发现可对齐事件或相应原数据尚未拉取,弱,观察项,补拉缺失数据后复核
B0GQZG8LSC,2026-08-23,数据不足,,未知,未发现可对齐事件或相应原数据尚未拉取,弱,观察项,补拉缺失数据后复核
B0GQZH1RRD,2026-08-21,数据不足,,未知,未发现可对齐事件或相应原数据尚未拉取,弱,观察项,补拉缺失数据后复核
B0GQZL4118,2026-08-22,数据不足,,未知,未发现可对齐事件或相应原数据尚未拉取,弱,观察项,补拉缺失数据后复核
B0GQZL8DZD,2026-08-22,库存异常,2026-08-18,否,THIRD_PARTY可售库存=2.0,弱,直接原因,补货并核对各仓可售库存
B0GQZP4YW1,2026-08-22,数据不足,,未知,未发现可对齐事件或相应原数据尚未拉取,弱,观察项,补拉缺失数据后复核
B0GR2RTL92,2026-08-23,数据不足,,未知,未发现可对齐事件或相应原数据尚未拉取,弱,观察项,补拉缺失数据后复核
B0GR2V4Y4F,2026-08-23,数据不足,,未知,未发现可对齐事件或相应原数据尚未拉取,弱,观察项,补拉缺失数据后复核
B0GR345J7B,2026-08-23,数据不足,,未知,未发现可对齐事件或相应原数据尚未拉取,弱,观察项,补拉缺失数据后复核
B0GR34PLB8,2026-08-21,数据不足,,未知,未发现可对齐事件或相应原数据尚未拉取,弱,观察项,补拉缺失数据后复核
B0GR3FTPG4,2026-08-22,数据不足,,未知,未发现可对齐事件或相应原数据尚未拉取,弱,观察项,补拉缺失数据后复核
B0GR3ZM7FZ,2026-08-21,数据不足,,未知,未发现可对齐事件或相应原数据尚未拉取,弱,观察项,补拉缺失数据后复核
B0GR4B355M,2026-08-21,库存异常,2026-08-18,否,THIRD_PARTY可售库存=2.0,弱,直接原因,补货并核对各仓可售库存
B0GR4C16WD,2026-08-21,购物车丢失,2026-09-08 09:41:36,否,SMC标签：无购物车或购物车异常,弱,直接原因,排查Buy Box资格、价格与配送
B0GR4CBL7C,2026-08-22,数据不足,,未知,未发现可对齐事件或相应原数据尚未拉取,弱,观察项,补拉缺失数据后复核
B0GR4FDFSQ,2026-08-21,库存异常,2026-08-25,否,THIRD_PARTY可售库存=2.0,弱,直接原因,补货并核对各仓可售库存
B0GR4FJPJC,2026-08-21,数据不足,,未知,未发现可对齐事件或相应原数据尚未拉取,弱,观察项,补拉缺失数据后复核
B0GR4L77BC,2026-08-23,数据不足,,未知,未发现可对齐事件或相应原数据尚未拉取,弱,观察项,补拉缺失数据后复核
B0GR4LNWTM,2026-08-22,数据不足,,未知,未发现可对齐事件或相应原数据尚未拉取,弱,观察项,补拉缺失数据后复核
B0GR4MK3S3,2026-08-21,库存异常,2026-08-18,否,THIRD_PARTY可售库存=2.0,弱,直接原因,补货并核对各仓可售库存
B0GR4V1436,2026-08-21,数据不足,,未知,未发现可对齐事件或相应原数据尚未拉取,弱,观察项,补拉缺失数据后复核
B0GR4V3RNT,2026-08-22,数据不足,,未知,未发现可对齐事件或相应原数据尚未拉取,弱,观察项,补拉缺失数据后复核
B0GR4XKFB3,2026-08-21,数据不足,,未知,未发现可对齐事件或相应原数据尚未拉取,弱,观察项,补拉缺失数据后复核
B0GR51CJ8M,2026-08-23,数据不足,,未知,未发现可对齐事件或相应原数据尚未拉取,弱,观察项,补拉缺失数据后复核
B0GSCKK336,2026-08-21,数据不足,,未知,未发现可对齐事件或相应原数据尚未拉取,弱,观察项,补拉缺失数据后复核
B0GSCYCMBG,2026-08-22,数据不足,,未知,未发现可对齐事件或相应原数据尚未拉取,弱,观察项,补拉缺失数据后复核
B0GSCZ2K1B,2026-08-21,数据不足,,未知,未发现可对齐事件或相应原数据尚未拉取,弱,观察项,补拉缺失数据后复核
B0GSD1T7VX,2026-08-23,数据不足,,未知,未发现可对齐事件或相应原数据尚未拉取,弱,观察项,补拉缺失数据后复核
B0GSD2NZ7K,2026-08-21,数据不足,,未知,未发现可对齐事件或相应原数据尚未拉取,弱,观察项,补拉缺失数据后复核
B0GTSC9PSP,2026-08-22,购物车丢失,2026-09-08 09:41:36,否,SMC标签：无购物车或购物车异常,弱,直接原因,排查Buy Box资格、价格与配送
B0GY85VZTV,2026-08-22,购物车丢失,2026-09-08 09:41:36,否,SMC标签：无购物车或购物车异常,弱,直接原因,排查Buy Box资格、价格与配送
B0GYCDWN3C,2026-08-23,数据不足,,未知,未发现可对齐事件或相应原数据尚未拉取,弱,观察项,补拉缺失数据后复核
B0GYN786H8,2026-08-22,数据不足,,未知,未发现可对齐事件或相应原数据尚未拉取,弱,观察项,补拉缺失数据后复核
B0H2YYR6YL,2026-08-21,数据不足,,未知,未发现可对齐事件或相应原数据尚未拉取,弱,观察项,补拉缺失数据后复核
B0H32FRVTL,2026-08-23,购物车丢失,2026-09-08 09:41:36,否,SMC标签：无购物车或购物车异常,弱,直接原因,排查Buy Box资格、价格与配送
B0H32PD3NP,2026-08-23,购物车丢失,2026-09-08 09:41:36,否,SMC标签：无购物车或购物车异常,弱,直接原因,排查Buy Box资格、价格与配送
B0H6WBQ8GH,2026-08-21,数据不足,,未知,未发现可对齐事件或相应原数据尚未拉取,弱,观察项,补拉缺失数据后复核
B0H6WFS239,2026-08-23,数据不足,,未知,未发现可对齐事件或相应原数据尚未拉取,弱,观察项,补拉缺失数据后复核
B0H6WG6FBJ,2026-08-22,购物车丢失,2026-09-08 09:41:36,否,SMC标签：无购物车或购物车异常,弱,直接原因,排查Buy Box资格、价格与配送
B0H6WHS9SC,2026-08-21,数据不足,,未知,未发现可对齐事件或相应原数据尚未拉取,弱,观察项,补拉缺失数据后复核
B0H6WJ68X4,2026-08-23,购物车丢失,2026-09-08 09:41:36,否,SMC标签：无购物车或购物车异常,弱,直接原因,排查Buy Box资格、价格与配送
B0H6WKNBLS,2026-08-22,库存异常,2026-08-11,否,THIRD_PARTY可售库存=0.0,弱,直接原因,补货并核对各仓可售库存
B0H6WKXNV3,2026-08-21,数据不足,,未知,未发现可对齐事件或相应原数据尚未拉取,弱,观察项,补拉缺失数据后复核
B0H6WLQHP5,2026-08-23,购物车丢失,2026-09-08 09:41:36,否,SMC标签：无购物车或购物车异常,弱,直接原因,排查Buy Box资格、价格与配送
B0H6WM1NCV,2026-08-21,数据不足,,未知,未发现可对齐事件或相应原数据尚未拉取,弱,观察项,补拉缺失数据后复核
B0H6WM22T1,2026-08-24,购物车丢失,2026-09-08 09:41:36,否,SMC标签：无购物车或购物车异常,弱,直接原因,排查Buy Box资格、价格与配送
B0H6WMTYJQ,2026-08-22,数据不足,,未知,未发现可对齐事件或相应原数据尚未拉取,弱,观察项,补拉缺失数据后复核
B0H6WN4PXL,2026-08-23,购物车丢失,2026-09-08 09:41:36,否,SMC标签：无购物车或购物车异常,弱,直接原因,排查Buy Box资格、价格与配送
B0H6WN611V,2026-08-22,库存异常,2026-08-18,否,THIRD_PARTY可售库存=2.0,弱,直接原因,补货并核对各仓可售库存
B0H6WNHXW2,2026-08-24,购物车丢失,2026-09-08 09:41:36,否,SMC标签：无购物车或购物车异常,弱,直接原因,排查Buy Box资格、价格与配送
B0H6WP99DL,2026-08-24,购物车丢失,2026-09-08 09:41:36,否,SMC标签：无购物车或购物车异常,弱,直接原因,排查Buy Box资格、价格与配送
B0H6WPMXL9,2026-08-21,购物车丢失,2026-09-08 09:41:36,否,SMC标签：无购物车或购物车异常,弱,直接原因,排查Buy Box资格、价格与配送
B0H6WQM9V9,2026-08-21,购物车丢失,2026-09-08 09:41:36,否,SMC标签：无购物车或购物车异常,弱,直接原因,排查Buy Box资格、价格与配送
B0H6WR728V,2026-08-21,数据不足,,未知,未发现可对齐事件或相应原数据尚未拉取,弱,观察项,补拉缺失数据后复核
B0H6XBB7RD,2026-08-23,数据不足,,未知,未发现可对齐事件或相应原数据尚未拉取,弱,观察项,补拉缺失数据后复核
B0H6XDL6SG,2026-08-23,购物车丢失,2026-09-08 09:41:36,否,SMC标签：无购物车或购物车异常,弱,直接原因,排查Buy Box资格、价格与配送
B0H9LKTWFJ,2026-08-23,数据不足,,未知,未发现可对齐事件或相应原数据尚未拉取,弱,观察项,补拉缺失数据后复核
B0H9LN8C77,2026-08-23,购物车丢失,2026-09-08 09:41:36,否,SMC标签：无购物车或购物车异常,弱,直接原因,排查Buy Box资格、价格与配送
B0H9LR1FFX,2026-08-22,购物车丢失,2026-09-08 09:41:36,否,SMC标签：无购物车或购物车异常,弱,直接原因,排查Buy Box资格、价格与配送
B0H9LR7JC8,2026-08-22,购物车丢失,2026-09-08 09:41:36,否,SMC标签：无购物车或购物车异常,弱,直接原因,排查Buy Box资格、价格与配送
B0H9PZ5PBR,2026-08-22,数据不足,,未知,未发现可对齐事件或相应原数据尚未拉取,弱,观察项,补拉缺失数据后复核
B0H9Q8M69P,2026-08-23,购物车丢失,2026-09-08 09:41:36,否,SMC标签：无购物车或购物车异常,弱,直接原因,排查Buy Box资格、价格与配送
