活动ID,原活动名,重复ASIN数,重复ASIN列表,处置动作,处理状态,关联活动ID
144985204977772,SP-Auto-Mix-转向器26新品-王云-OO4SGE36800,4,B0GSCQZNBJ；B0GTT9GQTF；B0GTTKP5RB；B0H6WNKC22,观察,待运营确认,120208862935473；144985204977772；180957401373784；268206496571761；49811275669002
150279347644092,SP-KW-转向器-王云-KX4SGE14500-B0DPZS94X1,1,B0DPZS94X1,保留,待运营确认,120208862935473；150279347644092；268206496571761；399736531644583；435199703309566；49811275669002
152551312086045,SP-Auto-Mix-转向器26新品-王云-OO4SGE34300,2,B0GTTQVXS1；B0H6XD418V,观察,待运营确认,152551312086045；20978556205150；268206496571761；49811275669002
156160119395826,SP-KW-Mix-转向器26新品-王云-OO4SGE38500,3,B0GSD1T7VX；B0GTTG7ZVC；B0H6X95PSN,观察,待运营确认,120208862935473；156160119395826；169993850438152；268206496571761；49811275669002
162721140269199,SP-KW-Mix-转向器26新品-王云-OO4SGE37500,3,B0GSCZ2K1B；B0GTTRFX2D；B0H6WKSJ7V,观察,待运营确认,120208862935473；162721140269199；268206496571761；49811275669002
167565422331786,SP-KW-转向器-王云-KC4SGE03400-B0DPCWQQCS,1,B0DPCWQQCS,保留,待运营确认,120208862935473；167565422331786；268206496571761；49811275669002；508321324710812；559944367123957
169993850438152,SP-Auto-Mix-转向器26新品-王云-OO4SGE38500,3,B0GSD1T7VX；B0GTTG7ZVC；B0H6X95PSN,观察,待运营确认,120208862935473；156160119395826；169993850438152；268206496571761；49811275669002
170935264587583,SP-Auto-Mix-转向器26新品-王云-OO4SGE38300,3,B0GSD2NZ7K；B0GTTBGZ98；B0H6WNM7Q5,观察,待运营确认,170935264587583；252653343363349；268206496571761；49811275669002
171762181066933,SP-KW-转向器-王云-KC4SGE03700-B0DPCXMRG4,1,B0DPCXMRG4,保留,待运营确认,120208862935473；171762181066933；268206496571761；432058755450975；49811275669002；517007512352905
174579098700714,SP-KW-转向器-王云-自己的定价,326,B0HDYNSWYR；B0HDYQP4H2；B0HDYRB9SR；B0HDYRPRW6；B0HDYSBQ9K；B0HDYSGZM5；B0HDYSMQ24；B0HDYV5MQJ；B0HDYVCMRG；B0HDYVNN3C；B0HDYVW6TP；B0HDYVZH4F；B0HDYW4GMY；B0HDYW6RX4；B0HDYW92Y7；B0HDYWBRYW；B0HDYWFGJT；B0HDYXQ6SS；B0HDYXQSZV；B0HDYZFR7H；B0HDYZFR8H；B0HDYZLXMX；B0HDYZS6MK；B0HDZ2H697；B0HDZ2KDF7；B0HDZ2XMVF；B0HDZ35CRQ；B0HDZ428VK；B0HDZ465MW；B0HDZ4SPQM；B0HDZ59PRG；B0HDZ5PQRR；B0HDZ7SCYS；B0HF2QN566；B0HF31KQ4P；B0HF31MB7J；B0HF31MM8F；B0HF31NXP4；B0HF31XP6C；B0HF325HFJ；B0HF329MBF；B0HF34564Y；B0HF34FK79；B0HF34JFSQ；B0HF34KRPG；B0HF34NPZ6；B0HF34R7VH；B0HF34WRHF；B0HF35BDHL；B0HF37PSB3；B0HF37STL1；B0HF3845LC；B0HF387HS1；B0HF38C8JS；B0HF38DV56；B0HF38H45P；B0HF38LXVZ；B0HF393D8J；B0HF394ZG4；B0HF39J1S9；B0HF39JZKP；B0HF3BLHVD；B0HF3BR246；B0HF3BTYHS；B0HF3C5ZB4；B0HF3CLND6；B0HF3CSTS9；B0HF3D27B7；B0HF3DF8QN；B0HF3DH6GT；B0HF3DH7GR；B0HF3DHJTY；B0HF3DTW2P；B0HF3DYF9V；B0HF3FGMZD；B0HF3FKKVL；B0HF3FT4JM；B0HF3G1LWR；B0HF3H8VKY；B0HF3H9GN5；B0HF3HMSMW；B0HF3HVBLZ；B0HF3HW9Z4；B0HF3J1SL5；B0HF3J68GX；B0HF3JCPQS；B0HF3JJYN8；B0HF3JR25Z；B0HF3JSYLZ；B0HF3LPX94；B0HF3LQJXQ；B0HF3LSVQW；B0HF3LYNGH；B0HF3M3JYJ；B0HF3MHTBJ；B0HF3MQLB5；B0HF3MWYJR；B0HF3N3RL9；B0HF3N5FZ7；B0HF3NFVW8；B0HF3NGJKY；B0HF3QD5XH；B0HF3QFXRJ；B0HF3QK92D；B0HF3QMVBR；B0HF3QQGFK；B0HF3QQS9X；B0HF3QW1HF；B0HF3QY8WF；B0HF3R3GWB；B0HF3RC8YG；B0HF3RCBR5；B0HF3RLBW8；B0HF3RRHXF；B0HF3S2PG8；B0HF3SZGWD；B0HF3T1RZD；B0HF3WN7YY；B0HF3WPTYK；B0HF3WS58D；B0HF3WSSS7；B0HF3WX27J；B0HF41JN8D；B0HF41P2S2；B0HF41RXHY；B0HF4212KL；B0HF424LWJ；B0HF4B4GRN；B0HF4BBZ89；B0HF4CHTLX；B0HF4D351S；B0HF4D6N4G；B0HF4D97JT；B0HF4F1X3H；B0HF4F5N8T；B0HF4FNNVZ；B0HF4G759S；B0HF4GC2XN；B0HF4GGQYM；B0HF4GJJWW；B0HF4GKHN3；B0HF4HN9S9；B0HF4JGY5G；B0HF4JP363；B0HF4JP6SC；B0HF4JWN6W；B0HF4L97DT；B0HF4LGC94；B0HF4LJFML；B0HF4LK9BG；B0HF4LM1ZQ；B0HF4LPXY5；B0HF4LQSLS；B0HF4LTJ2W；B0HF4M7HCF；B0HF4MHXNJ；B0HF4MRBYL；B0HF4N6F23；B0HF4ND3N9；B0HF4NH8QH；B0HF4NPYXQ；B0HF4NRFZB；B0HF4NRL7Z；B0HF4NTNQM；B0HF4PKZGQ；B0HF4PMKDX；B0HF4PRM3V；B0HF4Q5JLR；B0HF4Q7XM9；B0HF4Q853T；B0HF4QQG3J；B0HF4QTMK9；B0HF4QTYR4；B0HF4QZCJH；B0HF4R46C6；B0HF4RFKP6；B0HF4RFYC7；B0HF4RYM9W；B0HF4S1115；B0HF4SFW4F；B0HF4SVMX6；B0HF4SW28N；B0HF4TDM7H；B0HF4TJTXM；B0HF4TRQDC；B0HF4TSY5B；B0HF4VKHJH；B0HF4VMWMC；B0HF4W6S6F；B0HF4WCSTC；B0HF4WP58F；B0HF4WS2LD；B0HF4WZM16；B0HF4X4C1W；B0HF4XC484；B0HF4XYBJT；B0HF4YZPDF；B0HF4ZF3HG；B0HF4ZF5X9；B0HF4ZLWLS；B0HF4ZYKDH；B0HF51KVJ3；B0HF51LKS6；B0HF534CSM；B0HF54SLND；B0HF6V55WT；B0HF6VBSD1；B0HF6VDK1T；B0HF6WCXZ4；B0HF6X9YLV；B0HF6XKVTJ；B0HF6XN9PR；B0HF6XYWS1；B0HF6Y2CHT；B0HF6Y36KK；B0HF6ZF22C；B0HF6ZPQ29；B0HF6ZW2SY；B0HF7119G6；B0HF7165D1；B0HF71BKZP；B0HF71G1YB；B0HF71G45T；B0HF71MYB6；B0HF71Y7WR；B0HF721T32；B0HF729X31；B0HF72J2ZD；B0HF72QH89；B0HF72T5VH；B0HF733PGJ；B0HF7357HG；B0HF7395DL；B0HF73L3HM；B0HF73QDNR；B0HF73S98V；B0HF73S9LG；B0HF73XVQB；B0HF73YCW1；B0HF7415XG；B0HF7416NS；B0HF741V6G；B0HF747396；B0HF748NYW；B0HF74BCS3；B0HF74HQC3；B0HF74YMRR；B0HF75B2D8；B0HF75B4PH；B0HF75M515；B0HF75QHRH；B0HF75QPV4；B0HF75SYSD；B0HF75V1LB；B0HF7624JZ；B0HF7653CB；B0HF767K44；B0HF767ZMW；B0HF7682QV；B0HF768MN9；B0HF76BTBP；B0HF76HHS2；B0HF76HM4N；B0HF76NBHR；B0HF76P4LT；B0HF76QNZ5；B0HF76WN2M；B0HF76XTK4；B0HF777WYF；B0HF778SVX；B0HF77JWMS；B0HF77MS3D；B0HF77YGQB；B0HF78JKL6；B0HF78K37N；B0HF78Q5S6；B0HF78QYGS；B0HF78X2KB；B0HF78X3H8；B0HF7913LT；B0HF796T3P；B0HF796T8P；B0HF798HPZ；B0HF79R7DC；B0HF79TBD2；B0HF7B3L8T；B0HF7BZB3X；B0HF7C6BPQ；B0HF7CJ5CP；B0HF7CKRX1；B0HF7D6QLT；B0HF7FDSHP；B0HF7FSRS7；B0HF7FZRXM；B0HF7G5RDY；B0HF7G7JHZ；B0HF7GJ383；B0HF7HY2JM；B0HF7JM825；B0HF7K1HDC；B0HF7K1TN8；B0HF7KVWQC；B0HF7MTLDT；B0HF7MWHRG；B0HF7MZZ57；B0HF7PJNVZ；B0HF7PR8TF；B0HF7PTQNG；B0HF7PWJFQ；B0HF7Q3YY4；B0HF7QGGLD；B0HF7QX1P8；B0HF7QX57H；B0HF7R4KBL；B0HF7RKQJH；B0HF7SPGNW；B0HF7SS49Z；B0HF7TGQLC；B0HF7TLZDQ；B0HF7TPDSY；B0HF7VCYD8；B0HF7WYYHG；B0HF7YM7QC；B0HF847D44；B0HFHFSZRG；B0HFHJGHNR,拆出,待运营确认,174579098700714；255693994650886
180957401373784,SP-KW-Mix-转向器26新品-王云-OO4SGE36800,2,B0GTT9GQTF；B0GTTKP5RB,观察,待运营确认,144985204977772；180957401373784；268206496571761；49811275669002
184806298431624,SP-Auto-Mix-转向器26新品-王云-OO4SGE37700,4,B0GSCKK336；B0GTTCFZKC；B0GTTJ6XH1；B0H6WM1SFJ,观察,待运营确认,120208862935473；184806298431624；268206496571761；49811275669002
188917118027942,SP-KW-Mix-转向器26新品-王云-OO4SGE34100,3,B0GSCYCMBG；B0GTTPRT8T；B0H6WBJG7H,观察,待运营确认,103740798703650；188917118027942；268206496571761；49811275669002
189999489097630,SP-KW-转向器-王云-PT4SGE19800-B0F18R2YW4,1,B0F18R2YW4,保留,待运营确认,189999489097630；268206496571761；332843868299023；394492862399507；49811275669002
198719370297882,SP-Auto-Mix-转向器26新品-王云-OO4SGE35700,3,B0GTSC9PSP；B0GTTFC9WL；B0H6WGKPR5,观察,待运营确认,120208862935473；198719370297882；202940090284010；268206496571761；49811275669002
200362710523853,SP-Auto-Mix-转向器26新品-王云-OO4SGE35200,3,B0GSD5QBTT；B0GTTY2H3V；B0H6XGVXLS,观察,待运营确认,200362710523853；220868461805219；268206496571761；49811275669002
202940090284010,SP-KW-Mix-转向器26新品-王云-OO4SGE35700,3,B0GTSC9PSP；B0GTTFC9WL；B0H6WGKPR5,观察,待运营确认,120208862935473；198719370297882；202940090284010；268206496571761；49811275669002
203943778819822,SP-KW-转向器-王云-KC4PSP17200-B0GQZCB8W1,1,B0GQZCB8W1,保留,待运营确认,203943778819822；268206496571761；49811275669002
208020909887427,SP-Auto-Mix-转向器-王云-OO4SGE37000-重点,5,B0GHZCCP58；B0GJ2LP3NS；B0GR3C2BNZ；B0GR51CJ8M；B0H6WMRSY4,观察,待运营确认,120208862935473；208020909887427；268206496571761；49811275669002；9142979043827
20978556205150,SP-KW-Mix-转向器26新品-王云-OO4SGE34300,2,B0GTTQVXS1；B0H6XD418V,观察,待运营确认,152551312086045；20978556205150；268206496571761；49811275669002
209993314684186,SP-Auto-Mix-转向器26新品-王云-OO4SGE38800,4,B0GSCYWWKW；B0GTTHLTHZ；B0GTTL85NY；B0H6WLQDVM,观察,待运营确认,117528584268157；120208862935473；209993314684186；268206496571761；49811275669002
21159205231221,SP-Auto-Mix-转向器26新品-王云-OO4SGE38100,4,B0GSCDPFX1；B0GTTGB2F7；B0GTTJPBYK；B0H6WGMHPN,观察,待运营确认,117891715770881；21159205231221；268206496571761；49811275669002
215117840703711,SP-KW-MIXS-转向器-王云-KW组表现差暂停商品,19,B0D2D19CXW；B0DPCVYND6；B0DPWYBG2D；B0DPZQCD9D；B0DWMTDNKW；B0DWMWLGF3；B0F671L76Z；B0F6LJ85SB；B0F9P1QSQ9；B0FLY76M8N；B0FQPJ8B21；B0GR39YKFT；B0GSCHRBZ9；B0GSD39Q7L；B0GTT8WX7B；B0GTT935H4；B0GTTQ9NMZ；B0GTTZ8SDP；B0H6WFYLY8,拆出,待运营确认,100433204518578；120208862935473；215117840703711；255493073289572；268206496571761；287341848875970；361707052877791；49811275669002；537733476745548；542300619336163
217853626472968,SP-Auto-Mix-转向器26新品-王云-OO4SGE36000,2,B0GTTL5QMS；B0H6WHDDM2,观察,待运营确认,217853626472968；268206496571761；49811275669002
220868461805219,SP-KW-Mix-转向器26新品-王云-OO4SGE35200,3,B0GSD5QBTT；B0GTTY2H3V；B0H6XGVXLS,观察,待运营确认,200362710523853；220868461805219；268206496571761；49811275669002
225614269067288,SP-KW-KX4SGE09200-B0DWK1388B-转向器-PT TOP,1,B0DWK1388B,保留,待运营确认,225614269067288；268206496571761；418523720092459；49811275669002；545150361695597
242884828741717,SP-KW-转向器-王云-KC4PSP17700-B0DPCWYHXB,1,B0DPCWYHXB,保留,待运营确认,120208862935473；242884828741717；268206496571761；321185844966604；49811275669002；527465248172721
246704904027352,SP-KW-转向器-王云-KC4PSP17600-B0DPQLYGNY,1,B0DPQLYGNY,保留,待运营确认,120208862935473；246704904027352；268206496571761；452489399212700；49811275669002
252653343363349,SP-KW-Mix-转向器26新品-王云-OO4SGE38300,3,B0GSD2NZ7K；B0GTTBGZ98；B0H6WNM7Q5,观察,待运营确认,170935264587583；252653343363349；268206496571761；49811275669002
255493073289572,SP-Auto-Mix-转向器26新品-王云-OO4SGE38900,4,B0GSCHRBZ9；B0GTT935H4；B0GTTZ8SDP；B0H6WHND3D,观察,待运营确认,215117840703711；255493073289572；268206496571761；49811275669002
